onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.998	4	Aircraft1_10%_2.jpg	0	0.1	39.998	43.731	41.114	0
44.019	4	Aircraft1_10%_39.jpg	0	0.1	44.019	47.752	45.38	0
48.038	4	Aircraft2_10%_26.jpg	1	0.1	48.038	51.772	48.829	1
52.049	4	Aircraft1_10%_15.jpg	0	0.1	52.049	55.786	53.028	0
56.081	4	Aircraft2_10%_16.jpg	1	0.1	56.081	59.814	56.789	1
60.106	4	rest.jpg	NaN	NaN	60.106	63.843	64.106	NaN
64.092	4	rest.jpg	NaN	NaN	64.092	67.823	68.092	NaN
68.075	4	rest.jpg	NaN	NaN	68.075	71.806	72.075	NaN
72.092	4	Aircraft2_90%_14.jpg	1	0.9	72.092	75.823	73.534	1
76.106	4	Aircraft2_90%_5.jpg	1	0.9	76.106	79.838	77.008	1
80.12	4	Aircraft2_90%_15.jpg	1	0.9	80.12	83.852	84.12	1
84.119	4	Aircraft2_90%_19.jpg	1	0.9	84.119	87.85	85.896	1
88.13	4	Aircraft1_90%_31.jpg	0	0.9	88.13	91.868	89.839	0
92.14	4	rest.jpg	NaN	NaN	92.14	95.87	96.14	NaN
96.105	4	rest.jpg	NaN	NaN	96.105	99.841	100.105	NaN
100.093	4	rest.jpg	NaN	NaN	100.093	103.83	104.093	NaN
104.12	4	Aircraft2_70%_4.jpg	1	0.75	104.12	107.85	105.057	1
108.125	4	Aircraft1_70%_43.jpg	0	0.75	108.125	111.858	110.156	0
112.134	4	Aircraft1_70%_9.jpg	0	0.75	112.134	115.864	116.134	0
116.152	4	Aircraft1_70%_11.jpg	0	0.75	116.152	119.887	117.663	0
120.162	4	Aircraft1_70%_50.jpg	0	0.75	120.162	123.897	121.025	0
124.185	4	rest.jpg	NaN	NaN	124.185	127.917	128.185	NaN
128.17	4	rest.jpg	NaN	NaN	128.17	131.907	132.17	NaN
132.158	4	rest.jpg	NaN	NaN	132.158	135.89	136.158	NaN
136.162	4	Aircraft1_10%_36.jpg	0	0.1	136.162	139.894	137.359	0
140.179	4	Aircraft1_10%_35.jpg	0	0.1	140.179	143.911	141.253	0
144.183	4	Aircraft2_10%_3.jpg	1	0.1	144.183	147.92	145.021	1
148.211	4	Aircraft1_10%_5.jpg	0	0.1	148.211	151.942	149.085	0
152.237	4	Aircraft1_10%_48.jpg	0	0.1	152.237	155.969	153.643	0
156.241	4	rest.jpg	NaN	NaN	156.241	159.978	160.241	NaN
160.236	4	rest.jpg	NaN	NaN	160.236	163.967	164.236	NaN
164.22	4	rest.jpg	NaN	NaN	164.22	167.953	168.22	NaN
168.24	4	Aircraft1_90%_3.jpg	0	0.9	168.24	171.976	169.052	0
172.244	4	Aircraft2_90%_28.jpg	1	0.9	172.244	175.977	173.336	1
176.262	4	Aircraft1_90%_24.jpg	0	0.9	176.262	179.994	177.118	0
180.278	4	Aircraft2_90%_39.jpg	1	0.9	180.278	184.01	181.275	1
184.279	4	Aircraft2_90%_8.jpg	1	0.9	184.279	188.016	185.663	1
188.297	4	rest.jpg	NaN	NaN	188.297	192.027	192.297	NaN
192.275	4	rest.jpg	NaN	NaN	192.275	196.011	196.275	NaN
196.263	4	rest.jpg	NaN	NaN	196.263	199.999	200.263	NaN
200.274	4	Aircraft2_70%_18.jpg	1	0.75	200.274	204.009	200.893	1
204.302	4	Aircraft1_70%_29.jpg	0	0.75	204.302	208.039	205.276	0
208.33	4	Aircraft2_70%_1.jpg	1	0.75	208.33	212.06	210.201	1
212.348	4	Aircraft1_70%_26.jpg	0	0.75	212.348	216.082	213.321	0
216.371	4	Aircraft2_70%_34.jpg	1	0.75	216.371	220.102	217.384	1
220.389	4	rest.jpg	NaN	NaN	220.389	224.122	224.389	NaN
224.371	4	rest.jpg	NaN	NaN	224.371	228.102	228.371	NaN
228.351	4	rest.jpg	NaN	NaN	228.351	232.086	232.351	NaN
232.365	4	Aircraft2_10%_17.jpg	1	0.1	232.365	236.101	233.45	1
236.391	4	Aircraft2_10%_11.jpg	1	0.1	236.391	240.127	238.329	1
240.418	4	Aircraft1_10%_20.jpg	0	0.1	240.418	244.148	241.172	0
244.423	4	Aircraft2_10%_47.jpg	1	0.1	244.423	248.155	245.187	1
248.439	4	Aircraft2_10%_45.jpg	1	0.1	248.439	252.173	250.723	1
252.442	4	rest.jpg	NaN	NaN	252.442	256.178	256.442	NaN
256.409	4	rest.jpg	NaN	NaN	256.409	260.142	260.409	NaN
260.376	4	rest.jpg	NaN	NaN	260.376	264.112	264.376	NaN
264.381	4	Aircraft1_90%_25.jpg	0	0.9	264.381	268.111	265.044	0
268.389	4	Aircraft2_90%_49.jpg	1	0.9	268.389	272.122	269.722	1
272.389	4	Aircraft2_90%_10.jpg	1	0.9	272.389	276.119	273.862	1
276.398	4	Aircraft2_90%_12.jpg	1	0.9	276.398	280.134	277.716	1
280.403	4	Aircraft2_90%_7.jpg	1	0.9	280.403	284.134	281.257	1
284.416	4	rest.jpg	NaN	NaN	284.416	288.152	288.416	NaN
288.384	4	rest.jpg	NaN	NaN	288.384	292.116	292.384	NaN
292.359	4	rest.jpg	NaN	NaN	292.359	296.094	296.359	NaN
296.378	4	Aircraft1_70%_32.jpg	0	0.75	296.378	300.113	297.598	0
300.403	4	Aircraft1_70%_49.jpg	0	0.75	300.403	304.136	301.58	0
304.419	4	Aircraft2_70%_22.jpg	1	0.75	304.419	308.152	305.466	1
308.444	4	Aircraft1_70%_34.jpg	0	0.75	308.444	312.18	309.242	0
312.466	4	Aircraft1_70%_14.jpg	0	0.75	312.466	316.203	314.259	0
316.485	4	rest.jpg	NaN	NaN	316.485	320.217	320.485	NaN
320.463	4	rest.jpg	NaN	NaN	320.463	324.192	324.463	NaN
324.424	4	rest.jpg	NaN	NaN	324.424	328.156	328.424	NaN
328.448	4	Aircraft1_10%_1.jpg	0	0.1	328.448	332.178	329.317	0
332.465	4	Aircraft1_10%_47.jpg	0	0.1	332.465	336.195	333.601	0
336.471	4	Aircraft1_10%_40.jpg	0	0.1	336.471	340.208	337.382	0
340.487	4	Aircraft1_10%_27.jpg	0	0.1	340.487	344.219	341.934	0
344.502	4	Aircraft2_10%_35.jpg	1	0.1	344.502	348.232	345.236	1
348.518	4	rest.jpg	NaN	NaN	348.518	352.248	352.518	NaN
352.482	4	rest.jpg	NaN	NaN	352.482	356.219	356.482	NaN
356.453	4	rest.jpg	NaN	NaN	356.453	360.187	360.453	NaN
360.47	4	Aircraft1_90%_32.jpg	0	0.9	360.47	364.202	361.79	0
364.48	4	Aircraft1_90%_49.jpg	0	0.9	364.48	368.218	365.761	0
368.486	4	Aircraft2_90%_22.jpg	1	0.9	368.486	372.222	370.056	1
372.489	4	Aircraft1_90%_34.jpg	0	0.9	372.489	376.219	373.196	0
376.486	4	Aircraft1_90%_14.jpg	0	0.9	376.486	380.218	377.348	0
380.5	4	rest.jpg	NaN	NaN	380.5	384.23	384.5	NaN
384.464	4	rest.jpg	NaN	NaN	384.464	388.199	388.464	NaN
388.444	4	rest.jpg	NaN	NaN	388.444	392.174	392.444	NaN
392.458	4	Aircraft2_70%_24.jpg	1	0.75	392.458	396.187	393.461	1
396.472	4	Aircraft2_70%_2.jpg	1	0.75	396.472	400.207	397.662	1
400.489	4	Aircraft2_70%_43.jpg	1	0.75	400.489	404.225	401.052	1
404.489	4	Aircraft2_70%_46.jpg	1	0.75	404.489	408.219	405.17	1
408.505	4	Aircraft1_70%_42.jpg	0	0.75	408.505	412.24	409.267	0
412.526	4	rest.jpg	NaN	NaN	412.526	416.261	416.526	NaN
416.51	4	rest.jpg	NaN	NaN	416.51	420.246	420.51	NaN
420.495	4	rest.jpg	NaN	NaN	420.495	424.228	424.495	NaN
424.496	4	Aircraft2_10%_30.jpg	1	0.1	424.496	428.229	425.62	1
428.493	4	Aircraft2_10%_27.jpg	1	0.1	428.493	432.228	430.008	1
432.496	4	Aircraft2_10%_50.jpg	1	0.1	432.496	436.228	433.832	1
436.497	4	Aircraft2_10%_29.jpg	1	0.1	436.497	440.229	438.976	1
440.514	4	Aircraft1_10%_6.jpg	0	0.1	440.514	444.249	441.648	0
444.533	4	rest.jpg	NaN	NaN	444.533	448.269	448.533	NaN
448.499	4	rest.jpg	NaN	NaN	448.499	452.237	452.499	NaN
452.487	4	rest.jpg	NaN	NaN	452.487	456.219	456.487	NaN
456.499	4	Aircraft2_90%_18.jpg	1	0.9	456.499	460.235	457.928	1
460.5	4	Aircraft1_90%_29.jpg	0	0.9	460.5	464.23	461.674	0
464.493	4	Aircraft2_90%_1.jpg	1	0.9	464.493	468.228	465.159	1
468.489	4	Aircraft1_90%_26.jpg	0	0.9	468.489	472.219	470.369	0
472.497	4	Aircraft2_90%_34.jpg	1	0.9	472.497	476.234	473.166	1
