onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.025	4	Aircraft1_10%_17.jpg	0	0.1	40.025	43.761	41.627	0
44.08	4	Aircraft2_10%_42.jpg	1	0.1	44.08	47.814	45.835	1
48.097	4	Aircraft2_10%_44.jpg	1	0.1	48.097	51.829	49.174	1
52.111	4	Aircraft1_10%_10.jpg	0	0.1	52.111	55.845	52.973	0
56.138	4	Aircraft2_10%_25.jpg	1	0.1	56.138	59.869	57.499	1
60.155	4	rest.jpg	n/a	n/a	60.155	63.884	64.155	n/a
64.139	4	rest.jpg	n/a	n/a	64.139	67.868	68.139	n/a
68.106	4	rest.jpg	n/a	n/a	68.106	71.841	72.106	n/a
72.125	4	Aircraft1_90%_12.jpg	0	0.9	72.125	75.856	75.321	0
76.132	4	Aircraft2_90%_32.jpg	1	0.9	76.132	79.864	77.962	1
80.183	4	Aircraft2_90%_48.jpg	1	0.9	80.183	83.917	82.076	1
84.209	4	Aircraft1_90%_19.jpg	0	0.9	84.209	87.938	86.764	0
88.254	4	Aircraft1_90%_33.jpg	0	0.9	88.254	91.986	91.306	0
92.272	4	rest.jpg	n/a	n/a	92.272	96.007	96.272	n/a
96.255	4	rest.jpg	n/a	n/a	96.255	99.984	100.255	n/a
100.221	4	rest.jpg	n/a	n/a	100.221	103.95	104.221	n/a
104.236	4	Aircraft2_70%_33.jpg	1	0.75	104.236	107.967	108.236	1
108.245	4	Aircraft2_70%_38.jpg	1	0.75	108.245	111.978	110.862	1
112.255	4	Aircraft1_70%_30.jpg	0	0.75	112.255	115.984	116.255	0
116.264	4	Aircraft1_70%_41.jpg	0	0.75	116.264	119.995	119.737	0
120.304	4	Aircraft1_70%_18.jpg	0	0.75	120.304	124.034	123.284	0
124.317	4	rest.jpg	n/a	n/a	124.317	128.054	128.317	n/a
128.3	4	rest.jpg	n/a	n/a	128.3	132.029	132.3	n/a
132.278	4	rest.jpg	n/a	n/a	132.278	136.016	136.278	n/a
136.317	4	Aircraft2_10%_24.jpg	1	0.1	136.317	140.048	138.037	1
140.34	4	Aircraft2_10%_2.jpg	1	0.1	140.34	144.074	142.467	1
144.365	4	Aircraft2_10%_43.jpg	1	0.1	144.365	148.094	146.298	1
148.412	4	Aircraft2_10%_46.jpg	1	0.1	148.412	152.148	150.637	1
152.455	4	Aircraft1_10%_42.jpg	0	0.1	152.455	156.183	154.442	0
156.456	4	rest.jpg	n/a	n/a	156.456	160.19	160.456	n/a
160.426	4	rest.jpg	n/a	n/a	160.426	164.157	164.426	n/a
164.391	4	rest.jpg	n/a	n/a	164.391	168.126	168.391	n/a
168.391	4	Aircraft2_90%_9.jpg	1	0.9	168.391	172.127	172.391	1
