onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.993	4	Aircraft1_10%_2.jpg	0	0.1	39.993	43.725	41.257	0
44.007	4	Aircraft1_10%_39.jpg	0	0.1	44.007	47.745	45.529	0
48.021	4	Aircraft2_10%_26.jpg	1	0.1	48.021	51.752	49.535	1
52.043	4	Aircraft1_10%_15.jpg	0	0.1	52.043	55.776	53.653	0
56.064	4	Aircraft2_10%_16.jpg	1	0.1	56.064	59.796	57.804	1
60.079	4	rest.jpg	NaN	NaN	60.079	63.811	64.079	NaN
64.064	4	rest.jpg	NaN	NaN	64.064	67.8	68.064	NaN
68.056	4	rest.jpg	NaN	NaN	68.056	71.785	72.056	NaN
72.045	4	Aircraft2_90%_14.jpg	1	0.9	72.045	75.777	74.061	1
76.038	4	Aircraft2_90%_5.jpg	1	0.9	76.038	79.774	79.058	1
80.035	4	Aircraft2_90%_15.jpg	1	0.9	80.035	83.767	82.654	1
84.028	4	Aircraft2_90%_19.jpg	1	0.9	84.028	87.765	87.09	1
88.041	4	Aircraft1_90%_31.jpg	0	0.9	88.041	91.776	92.041	0
92.041	4	rest.jpg	NaN	NaN	92.041	95.774	96.041	NaN
96.019	4	rest.jpg	NaN	NaN	96.019	99.757	100.019	NaN
99.994	4	rest.jpg	NaN	NaN	99.994	103.732	103.994	NaN
104.022	4	Aircraft2_70%_4.jpg	1	0.75	104.022	107.752	106.527	1
108.017	4	Aircraft1_70%_43.jpg	0	0.75	108.017	111.75	109.565	0
112.019	4	Aircraft1_70%_9.jpg	0	0.75	112.019	115.75	116.019	0
116.032	4	Aircraft1_70%_11.jpg	0	0.75	116.032	119.765	117.507	0
120.053	4	Aircraft1_70%_50.jpg	0	0.75	120.053	123.783	123.335	0
124.077	4	rest.jpg	NaN	NaN	124.077	127.809	128.077	NaN
128.057	4	rest.jpg	NaN	NaN	128.057	131.789	132.057	NaN
132.038	4	rest.jpg	NaN	NaN	132.038	135.777	136.038	NaN
136.042	4	Aircraft1_10%_36.jpg	0	0.1	136.042	139.776	137.698	0
140.066	4	Aircraft1_10%_35.jpg	0	0.1	140.066	143.802	141.021	0
144.074	4	Aircraft2_10%_3.jpg	1	0.1	144.074	147.804	145.319	1
148.094	4	Aircraft1_10%_5.jpg	0	0.1	148.094	151.825	149.217	0
152.097	4	Aircraft1_10%_48.jpg	0	0.1	152.097	155.833	153.524	0
156.101	4	rest.jpg	NaN	NaN	156.101	159.836	160.101	NaN
160.075	4	rest.jpg	NaN	NaN	160.075	163.809	164.075	NaN
164.057	4	rest.jpg	NaN	NaN	164.057	167.787	168.057	NaN
168.071	4	Aircraft1_90%_3.jpg	0	0.9	168.071	171.801	170.561	0
172.063	4	Aircraft2_90%_28.jpg	1	0.9	172.063	175.798	174.718	1
176.083	4	Aircraft1_90%_24.jpg	0	0.9	176.083	179.815	177.646	0
180.075	4	Aircraft2_90%_39.jpg	1	0.9	180.075	183.808	183.605	1
184.069	4	Aircraft2_90%_8.jpg	1	0.9	184.069	187.805	186.885	1
188.07	4	rest.jpg	NaN	NaN	188.07	191.807	192.07	NaN
192.061	4	rest.jpg	NaN	NaN	192.061	195.796	196.061	NaN
196.047	4	rest.jpg	NaN	NaN	196.047	199.779	200.047	NaN
200.046	4	Aircraft2_70%_18.jpg	1	0.75	200.046	203.779	202.649	1
204.067	4	Aircraft1_70%_29.jpg	0	0.75	204.067	207.803	205.689	0
208.071	4	Aircraft2_70%_1.jpg	1	0.75	208.071	211.803	211.368	1
212.089	4	Aircraft1_70%_26.jpg	0	0.75	212.089	215.821	215.373	0
216.108	4	Aircraft2_70%_34.jpg	1	0.75	216.108	219.844	218.545	1
220.11	4	rest.jpg	NaN	NaN	220.11	223.84	224.11	NaN
224.071	4	rest.jpg	NaN	NaN	224.071	227.803	228.071	NaN
228.056	4	rest.jpg	NaN	NaN	228.056	231.792	232.056	NaN
232.058	4	Aircraft2_10%_17.jpg	1	0.1	232.058	235.788	233.418	1
236.076	4	Aircraft2_10%_11.jpg	1	0.1	236.076	239.806	237.787	1
240.096	4	Aircraft1_10%_20.jpg	0	0.1	240.096	243.829	241.604	0
244.119	4	Aircraft2_10%_47.jpg	1	0.1	244.119	247.853	245.867	1
248.138	4	Aircraft2_10%_45.jpg	1	0.1	248.138	251.868	249.712	1
252.132	4	rest.jpg	NaN	NaN	252.132	255.862	256.132	NaN
256.113	4	rest.jpg	NaN	NaN	256.113	259.845	260.113	NaN
260.078	4	rest.jpg	NaN	NaN	260.078	263.814	264.078	NaN
264.097	4	Aircraft1_90%_25.jpg	0	0.9	264.097	267.827	266.345	0
268.11	4	Aircraft2_90%_49.jpg	1	0.9	268.11	271.84	270.464	1
272.104	4	Aircraft2_90%_10.jpg	1	0.9	272.104	275.837	274.888	1
276.122	4	Aircraft2_90%_12.jpg	1	0.9	276.122	279.857	278.836	1
280.123	4	Aircraft2_90%_7.jpg	1	0.9	280.123	283.859	283.714	1
284.124	4	rest.jpg	NaN	NaN	284.124	287.859	288.124	NaN
288.105	4	rest.jpg	NaN	NaN	288.105	291.84	292.105	NaN
292.073	4	rest.jpg	NaN	NaN	292.073	295.804	296.073	NaN
296.069	4	Aircraft1_70%_32.jpg	0	0.75	296.069	299.801	297.502	0
300.069	4	Aircraft1_70%_49.jpg	0	0.75	300.069	303.799	301.272	0
304.062	4	Aircraft2_70%_22.jpg	1	0.75	304.062	307.794	305.252	1
308.062	4	Aircraft1_70%_34.jpg	0	0.75	308.062	311.797	310.385	0
312.065	4	Aircraft1_70%_14.jpg	0	0.75	312.065	315.797	313.386	0
316.086	4	rest.jpg	NaN	NaN	316.086	319.815	320.086	NaN
320.045	4	rest.jpg	NaN	NaN	320.045	323.779	324.045	NaN
324.027	4	rest.jpg	NaN	NaN	324.027	327.764	328.027	NaN
328.053	4	Aircraft1_10%_1.jpg	0	0.1	328.053	331.786	329.518	0
332.052	4	Aircraft1_10%_47.jpg	0	0.1	332.052	335.782	333.606	0
336.052	4	Aircraft1_10%_40.jpg	0	0.1	336.052	339.79	337.562	0
340.059	4	Aircraft1_10%_27.jpg	0	0.1	340.059	343.791	341.511	0
344.059	4	Aircraft2_10%_35.jpg	1	0.1	344.059	347.791	345.506	1
348.073	4	rest.jpg	NaN	NaN	348.073	351.81	352.073	NaN
352.042	4	rest.jpg	NaN	NaN	352.042	355.777	356.042	NaN
356.02	4	rest.jpg	NaN	NaN	356.02	359.756	360.02	NaN
360.017	4	Aircraft1_90%_32.jpg	0	0.9	360.017	363.751	361.982	0
364.012	4	Aircraft1_90%_49.jpg	0	0.9	364.012	367.744	366.523	0
368.005	4	Aircraft2_90%_22.jpg	1	0.9	368.005	371.737	369.752	1
371.999	4	Aircraft1_90%_34.jpg	0	0.9	371.999	375.733	373.916	0
376.015	4	Aircraft1_90%_14.jpg	0	0.9	376.015	379.749	378.947	0
380.013	4	rest.jpg	NaN	NaN	380.013	383.75	384.013	NaN
383.982	4	rest.jpg	NaN	NaN	383.982	387.72	387.982	NaN
387.967	4	rest.jpg	NaN	NaN	387.967	391.697	391.967	NaN
391.978	4	Aircraft2_70%_24.jpg	1	0.75	391.978	395.709	393.763	1
395.989	4	Aircraft2_70%_2.jpg	1	0.75	395.989	399.728	397.784	1
400.014	4	Aircraft2_70%_43.jpg	1	0.75	400.014	403.749	401.877	1
404.033	4	Aircraft2_70%_46.jpg	1	0.75	404.033	407.77	406.219	1
408.038	4	Aircraft1_70%_42.jpg	0	0.75	408.038	411.771	409.479	0
412.056	4	rest.jpg	NaN	NaN	412.056	415.788	416.056	NaN
416.036	4	rest.jpg	NaN	NaN	416.036	419.773	420.036	NaN
420.023	4	rest.jpg	NaN	NaN	420.023	423.756	424.023	NaN
424.023	4	Aircraft2_10%_30.jpg	1	0.1	424.023	427.756	425.369	1
428.035	4	Aircraft2_10%_27.jpg	1	0.1	428.035	431.768	428.814	1
432.051	4	Aircraft2_10%_50.jpg	1	0.1	432.051	435.781	432.855	1
436.068	4	Aircraft2_10%_29.jpg	1	0.1	436.068	439.8	436.934	1
440.07	4	Aircraft1_10%_6.jpg	0	0.1	440.07	443.802	440.901	0
444.084	4	rest.jpg	NaN	NaN	444.084	447.82	448.084	NaN
448.071	4	rest.jpg	NaN	NaN	448.071	451.802	452.071	NaN
452.034	4	rest.jpg	NaN	NaN	452.034	455.773	456.034	NaN
456.056	4	Aircraft2_90%_18.jpg	1	0.9	456.056	459.79	457.676	1
460.05	4	Aircraft1_90%_29.jpg	0	0.9	460.05	463.788	461.329	0
464.071	4	Aircraft2_90%_1.jpg	1	0.9	464.071	467.801	465.973	1
468.079	4	Aircraft1_90%_26.jpg	0	0.9	468.079	471.815	469.884	0
472.093	4	Aircraft2_90%_34.jpg	1	0.9	472.093	475.83	473.11	1
476.096	4	rest.jpg	NaN	NaN	476.096	479.831	480.096	NaN
480.083	4	rest.jpg	NaN	NaN	480.083	483.813	484.083	NaN
484.059	4	rest.jpg	NaN	NaN	484.059	487.794	488.059	NaN
488.063	4	Aircraft1_70%_17.jpg	0	0.75	488.063	491.793	489.357	0
492.074	4	Aircraft2_70%_42.jpg	1	0.75	492.074	495.81	493.116	1
496.093	4	Aircraft2_70%_44.jpg	1	0.75	496.093	499.828	497.513	1
500.111	4	Aircraft1_70%_10.jpg	0	0.75	500.111	503.841	501.203	0
504.109	4	Aircraft2_70%_25.jpg	1	0.75	504.109	507.841	505.06	1
508.105	4	rest.jpg	NaN	NaN	508.105	511.836	512.105	NaN
512.088	4	rest.jpg	NaN	NaN	512.088	515.823	516.088	NaN
516.055	4	rest.jpg	NaN	NaN	516.055	519.791	520.055	NaN
520.06	4	Aircraft1_10%_38.jpg	0	0.1	520.06	523.797	520.867	0
524.081	4	Aircraft2_10%_21.jpg	1	0.1	524.081	527.811	524.91	1
528.084	4	Aircraft1_10%_16.jpg	0	0.1	528.084	531.815	528.948	0
532.095	4	Aircraft1_10%_46.jpg	0	0.1	532.095	535.825	532.894	0
536.088	4	Aircraft2_10%_40.jpg	1	0.1	536.088	539.824	536.94	1
540.088	4	rest.jpg	NaN	NaN	540.088	543.818	544.088	NaN
544.051	4	rest.jpg	NaN	NaN	544.051	547.783	548.051	NaN
548.032	4	rest.jpg	NaN	NaN	548.032	551.769	552.032	NaN
552.031	4	Aircraft2_90%_4.jpg	1	0.9	552.031	555.762	554.473	1
556.029	4	Aircraft1_90%_43.jpg	0	0.9	556.029	559.76	557.739	0
560.041	4	Aircraft1_90%_9.jpg	0	0.9	560.041	563.774	563.061	0
564.038	4	Aircraft1_90%_11.jpg	0	0.9	564.038	567.768	568.038	0
568.034	4	Aircraft1_90%_50.jpg	0	0.9	568.034	571.767	570.741	0
572.035	4	rest.jpg	NaN	NaN	572.035	575.769	576.035	NaN
576.02	4	rest.jpg	NaN	NaN	576.02	579.761	580.02	NaN
580.011	4	rest.jpg	NaN	NaN	580.011	583.745	584.011	NaN
584.018	4	Aircraft1_70%_12.jpg	0	0.75	584.018	587.75	585.377	0
588.023	4	Aircraft2_70%_32.jpg	1	0.75	588.023	591.761	589.604	1
592.053	4	Aircraft2_70%_48.jpg	1	0.75	592.053	595.785	594.647	1
