onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.986	4	Aircraft1_10%_2.jpg	0	0.1	39.986	43.72	41.658	0
43.984	4	Aircraft1_10%_39.jpg	0	0.1	43.984	47.721	45.334	0
47.997	4	Aircraft2_10%_26.jpg	1	0.1	47.997	51.73	49.295	1
52.017	4	Aircraft1_10%_15.jpg	0	0.1	52.017	55.749	52.986	0
56.033	4	Aircraft2_10%_16.jpg	1	0.1	56.033	59.77	57.875	1
60.054	4	rest.jpg	NaN	NaN	60.054	63.784	64.054	NaN
64.032	4	rest.jpg	NaN	NaN	64.032	67.772	68.032	NaN
68.021	4	rest.jpg	NaN	NaN	68.021	71.764	72.021	NaN
72.044	4	Aircraft2_90%_14.jpg	1	0.9	72.044	75.775	73.67	1
76.054	4	Aircraft2_90%_5.jpg	1	0.9	76.054	79.786	77.519	1
80.045	4	Aircraft2_90%_15.jpg	1	0.9	80.045	83.782	81.146	1
84.043	4	Aircraft2_90%_19.jpg	1	0.9	84.043	87.774	85.643	1
88.047	4	Aircraft1_90%_31.jpg	0	0.9	88.047	91.784	89.64	0
92.068	4	rest.jpg	NaN	NaN	92.068	95.797	96.068	NaN
96.029	4	rest.jpg	NaN	NaN	96.029	99.76	100.029	NaN
100.011	4	rest.jpg	NaN	NaN	100.011	103.748	104.011	NaN
104.015	4	Aircraft2_70%_4.jpg	1	0.75	104.015	107.75	105.205	1
108.017	4	Aircraft1_70%_43.jpg	0	0.75	108.017	111.749	109.254	0
112.016	4	Aircraft1_70%_9.jpg	0	0.75	112.016	115.751	113.338	0
116.016	4	Aircraft1_70%_11.jpg	0	0.75	116.016	119.749	117.643	0
120.013	4	Aircraft1_70%_50.jpg	0	0.75	120.013	123.749	121.202	0
124.011	4	rest.jpg	NaN	NaN	124.011	127.742	128.011	NaN
127.991	4	rest.jpg	NaN	NaN	127.991	131.722	131.991	NaN
131.967	4	rest.jpg	NaN	NaN	131.967	135.706	135.967	NaN
135.977	4	Aircraft1_10%_36.jpg	0	0.1	135.977	139.714	137.798	0
140.004	4	Aircraft1_10%_35.jpg	0	0.1	140.004	143.737	141.571	0
144.026	4	Aircraft2_10%_3.jpg	1	0.1	144.026	147.759	145.024	1
148.035	4	Aircraft1_10%_5.jpg	0	0.1	148.035	151.766	149.339	0
152.056	4	Aircraft1_10%_48.jpg	0	0.1	152.056	155.786	153.307	0
156.052	4	rest.jpg	NaN	NaN	156.052	159.788	160.052	NaN
160.024	4	rest.jpg	NaN	NaN	160.024	163.754	164.024	NaN
163.986	4	rest.jpg	NaN	NaN	163.986	167.724	167.986	NaN
168.004	4	Aircraft1_90%_3.jpg	0	0.9	168.004	171.743	169.758	0
172.026	4	Aircraft2_90%_28.jpg	1	0.9	172.026	175.761	173.159	1
176.022	4	Aircraft1_90%_24.jpg	0	0.9	176.022	179.759	177.781	0
180.042	4	Aircraft2_90%_39.jpg	1	0.9	180.042	183.776	181.304	1
184.062	4	Aircraft2_90%_8.jpg	1	0.9	184.062	187.796	185.295	1
188.063	4	rest.jpg	NaN	NaN	188.063	191.794	192.063	NaN
192.042	4	rest.jpg	NaN	NaN	192.042	195.775	196.042	NaN
