onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.2	4	Aircraft1_10%_17.jpg	0	0.1	40.2	43.949	41.572	0
44.199	4	Aircraft2_10%_42.jpg	1	0.1	44.199	47.946	45.727	1
48.211	4	Aircraft2_10%_44.jpg	1	0.1	48.211	51.964	49.171	1
52.214	4	Aircraft1_10%_10.jpg	0	0.1	52.214	55.964	53.789	0
56.229	4	Aircraft2_10%_25.jpg	1	0.1	56.229	59.976	58.018	1
60.258	4	rest.jpg	NaN	NaN	60.258	64.005	64.258	NaN
64.25	4	rest.jpg	NaN	NaN	64.25	68.004	68.25	NaN
68.246	4	rest.jpg	NaN	NaN	68.246	71.997	72.246	NaN
72.264	4	Aircraft1_90%_12.jpg	0	0.9	72.264	76.017	73.775	0
76.262	4	Aircraft2_90%_32.jpg	1	0.9	76.262	80.009	77.747	1
80.276	4	Aircraft2_90%_48.jpg	1	0.9	80.276	84.029	82.987	1
84.274	4	Aircraft1_90%_19.jpg	0	0.9	84.274	88.021	86.858	0
88.266	4	Aircraft1_90%_33.jpg	0	0.9	88.266	92.016	91.355	0
92.278	4	rest.jpg	NaN	NaN	92.278	96.025	96.278	NaN
96.256	4	rest.jpg	NaN	NaN	96.256	100.007	100.256	NaN
100.245	4	rest.jpg	NaN	NaN	100.245	103.992	104.245	NaN
104.256	4	Aircraft2_70%_33.jpg	1	0.75	104.256	108.009	106.333	1
108.27	4	Aircraft2_70%_38.jpg	1	0.75	108.27	112.023	111.533	1
112.268	4	Aircraft1_70%_30.jpg	0	0.75	112.268	116.023	114.07	0
116.285	4	Aircraft1_70%_41.jpg	0	0.75	116.285	120.04	118.699	0
120.299	4	Aircraft1_70%_18.jpg	0	0.75	120.299	124.051	122.304	0
124.314	4	rest.jpg	NaN	NaN	124.314	128.06	128.314	NaN
128.291	4	rest.jpg	NaN	NaN	128.291	132.044	132.291	NaN
132.286	4	rest.jpg	NaN	NaN	132.286	136.038	136.286	NaN
136.284	4	Aircraft2_10%_24.jpg	1	0.1	136.284	140.031	138.154	1
140.278	4	Aircraft2_10%_2.jpg	1	0.1	140.278	144.028	142.545	1
144.293	4	Aircraft2_10%_43.jpg	1	0.1	144.293	148.04	145.924	1
