onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.042	4	Aircraft1_10%_17.jpg	0	0.1	40.042	43.772	41.024	0
44.087	4	Aircraft2_10%_42.jpg	1	0.1	44.087	47.822	45.061	1
48.096	4	Aircraft2_10%_44.jpg	1	0.1	48.096	51.832	48.919	1
52.142	4	Aircraft1_10%_10.jpg	0	0.1	52.142	55.872	52.91	0
56.143	4	Aircraft2_10%_25.jpg	1	0.1	56.143	59.874	57.187	1
60.193	4	rest.jpg	NaN	NaN	60.193	63.922	64.193	NaN
64.181	4	rest.jpg	NaN	NaN	64.181	67.912	68.181	NaN
68.147	4	rest.jpg	NaN	NaN	68.147	71.876	72.147	NaN
72.158	4	Aircraft1_90%_12.jpg	0	0.9	72.158	75.893	74.186	0
76.193	4	Aircraft2_90%_32.jpg	1	0.9	76.193	79.929	78.832	1
80.239	4	Aircraft2_90%_48.jpg	1	0.9	80.239	83.974	83.46	1
84.275	4	Aircraft1_90%_19.jpg	0	0.9	84.275	88.004	86.934	0
88.291	4	Aircraft1_90%_33.jpg	0	0.9	88.291	92.025	90.435	0
92.313	4	rest.jpg	NaN	NaN	92.313	96.049	96.313	NaN
96.296	4	rest.jpg	NaN	NaN	96.296	100.026	100.296	NaN
100.261	4	rest.jpg	NaN	NaN	100.261	103.992	104.261	NaN
104.316	4	Aircraft2_70%_33.jpg	1	0.75	104.316	108.058	105.895	1
108.368	4	Aircraft2_70%_38.jpg	1	0.75	108.368	112.099	109.691	1
112.372	4	Aircraft1_70%_30.jpg	0	0.75	112.372	116.101	115.644	0
116.413	4	Aircraft1_70%_41.jpg	0	0.75	116.413	120.149	119.7	0
120.425	4	Aircraft1_70%_18.jpg	0	0.75	120.425	124.154	121.424	0
124.437	4	rest.jpg	NaN	NaN	124.437	128.165	128.437	NaN
128.396	4	rest.jpg	NaN	NaN	128.396	132.131	132.396	NaN
132.364	4	rest.jpg	NaN	NaN	132.364	136.098	136.364	NaN
136.404	4	Aircraft2_10%_24.jpg	1	0.1	136.404	140.139	137.429	1
140.451	4	Aircraft2_10%_2.jpg	1	0.1	140.451	144.182	141.581	1
144.514	4	Aircraft2_10%_43.jpg	1	0.1	144.514	148.243	145.707	1
148.522	4	Aircraft2_10%_46.jpg	1	0.1	148.522	152.253	149.458	1
152.558	4	Aircraft1_10%_42.jpg	0	0.1	152.558	156.289	153.455	0
156.559	4	rest.jpg	NaN	NaN	156.559	160.288	160.559	NaN
160.537	4	rest.jpg	NaN	NaN	160.537	164.273	164.537	NaN
164.534	4	rest.jpg	NaN	NaN	164.534	168.27	168.534	NaN
168.548	4	Aircraft2_90%_9.jpg	1	0.9	168.548	172.282	170.622	1
172.597	4	Aircraft2_90%_6.jpg	1	0.9	172.597	176.328	174.555	1
176.736	4	Aircraft1_90%_23.jpg	0	0.9	176.736	180.472	178.729	0
180.74	4	Aircraft1_90%_21.jpg	0	0.9	180.74	184.477	182.688	0
184.785	4	Aircraft2_90%_36.jpg	1	0.9	184.785	188.515	186.854	1
188.785	4	rest.jpg	NaN	NaN	188.785	192.517	192.785	NaN
192.766	4	rest.jpg	NaN	NaN	192.766	196.502	196.766	NaN
196.747	4	rest.jpg	NaN	NaN	196.747	200.475	200.747	NaN
200.768	4	Aircraft2_70%_31.jpg	1	0.75	200.768	204.497	202.13	1
204.812	4	Aircraft1_70%_4.jpg	0	0.75	204.812	208.541	206.763	0
208.839	4	Aircraft2_70%_20.jpg	1	0.75	208.839	212.571	212.839	1
212.846	4	Aircraft1_70%_7.jpg	0	0.75	212.846	216.584	213.972	0
216.873	4	Aircraft1_70%_8.jpg	0	0.75	216.873	220.602	219.309	0
220.895	4	rest.jpg	NaN	NaN	220.895	224.63	224.895	NaN
224.864	4	rest.jpg	NaN	NaN	224.864	228.595	228.864	NaN
228.829	4	rest.jpg	NaN	NaN	228.829	232.563	232.829	NaN
232.84	4	Aircraft2_10%_31.jpg	1	0.1	232.84	236.568	233.888	1
236.887	4	Aircraft1_10%_4.jpg	0	0.1	236.887	240.618	237.634	0
240.889	4	Aircraft2_10%_20.jpg	1	0.1	240.889	244.621	241.613	1
244.93	4	Aircraft1_10%_7.jpg	0	0.1	244.93	248.659	246.733	0
248.935	4	Aircraft1_10%_8.jpg	0	0.1	248.935	252.671	249.969	0
252.961	4	rest.jpg	NaN	NaN	252.961	256.692	256.961	NaN
256.926	4	rest.jpg	NaN	NaN	256.926	260.66	260.926	NaN
260.91	4	rest.jpg	NaN	NaN	260.91	264.639	264.91	NaN
264.907	4	Aircraft2_90%_41.jpg	1	0.9	264.907	268.642	266.536	1
268.952	4	Aircraft1_90%_22.jpg	0	0.9	268.952	272.687	270.939	0
272.953	4	Aircraft1_90%_44.jpg	0	0.9	272.953	276.682	275.513	0
276.97	4	Aircraft1_90%_1.jpg	0	0.9	276.97	280.705	278.861	0
281.008	4	Aircraft2_90%_37.jpg	1	0.9	281.008	284.737	282.052	1
285.007	4	rest.jpg	NaN	NaN	285.007	288.741	289.007	NaN
288.975	4	rest.jpg	NaN	NaN	288.975	292.705	292.975	NaN
292.939	4	rest.jpg	NaN	NaN	292.939	296.668	296.939	NaN
296.974	4	Aircraft2_70%_41.jpg	1	0.75	296.974	300.709	298.805	1
300.983	4	Aircraft1_70%_22.jpg	0	0.75	300.983	304.717	304.222	0
305.011	4	Aircraft1_70%_44.jpg	0	0.75	305.011	308.743	305.99	0
309.045	4	Aircraft1_70%_1.jpg	0	0.75	309.045	312.774	309.759	0
313.081	4	Aircraft2_70%_37.jpg	1	0.75	313.081	316.816	317.081	1
317.09	4	rest.jpg	NaN	NaN	317.09	320.819	321.09	NaN
321.059	4	rest.jpg	NaN	NaN	321.059	324.793	325.059	NaN
325.043	4	rest.jpg	NaN	NaN	325.043	328.775	329.043	NaN
329.083	4	Aircraft2_10%_33.jpg	1	0.1	329.083	332.812	331.258	1
333.125	4	Aircraft2_10%_38.jpg	1	0.1	333.125	336.855	334.255	1
337.16	4	Aircraft1_10%_30.jpg	0	0.1	337.16	340.89	337.964	0
341.221	4	Aircraft1_10%_41.jpg	0	0.1	341.221	344.956	343.454	0
345.228	4	Aircraft1_10%_18.jpg	0	0.1	345.228	348.96	345.886	0
349.229	4	rest.jpg	NaN	NaN	349.229	352.961	353.229	NaN
353.21	4	rest.jpg	NaN	NaN	353.21	356.946	357.21	NaN
357.18	4	rest.jpg	NaN	NaN	357.18	360.915	361.18	NaN
361.2	4	Aircraft2_90%_23.jpg	1	0.9	361.2	364.935	364.055	1
365.255	4	Aircraft1_90%_28.jpg	0	0.9	365.255	368.989	366.399	0
369.295	4	Aircraft2_90%_13.jpg	1	0.9	369.295	373.029	370.62	1
373.348	4	Aircraft1_90%_45.jpg	0	0.9	373.348	377.079	376.198	0
377.345	4	Aircraft1_90%_37.jpg	0	0.9	377.345	381.074	379.671	0
381.361	4	rest.jpg	NaN	NaN	381.361	385.097	385.361	NaN
385.346	4	rest.jpg	NaN	NaN	385.346	389.082	389.346	NaN
389.326	4	rest.jpg	NaN	NaN	389.326	393.057	393.326	NaN
