onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.013	4	Aircraft1_10%_2.jpg	0	0.1	40.013	43.75	41.856	0
44.088	4	Aircraft1_10%_39.jpg	0	0.1	44.088	47.823	44.982	0
48.114	4	Aircraft2_10%_26.jpg	1	0.1	48.114	51.844	49.337	1
52.144	4	Aircraft1_10%_15.jpg	0	0.1	52.144	55.875	53.147	0
56.167	4	Aircraft2_10%_16.jpg	1	0.1	56.167	59.899	57.271	1
60.172	4	rest.jpg	n/a	n/a	60.172	63.904	64.172	n/a
64.151	4	rest.jpg	n/a	n/a	64.151	67.887	68.151	n/a
68.127	4	rest.jpg	n/a	n/a	68.127	71.857	72.127	n/a
72.144	4	Aircraft2_90%_14.jpg	1	0.9	72.144	75.874	73.729	1
76.161	4	Aircraft2_90%_5.jpg	1	0.9	76.161	79.891	76.924	1
80.16	4	Aircraft2_90%_15.jpg	1	0.9	80.16	83.892	80.941	1
84.182	4	Aircraft2_90%_19.jpg	1	0.9	84.182	87.918	85.117	1
88.243	4	Aircraft1_90%_31.jpg	0	0.9	88.243	91.975	90.661	0
92.264	4	rest.jpg	n/a	n/a	92.264	95.994	96.264	n/a
96.246	4	rest.jpg	n/a	n/a	96.246	99.976	100.246	n/a
100.231	4	rest.jpg	n/a	n/a	100.231	103.963	104.231	n/a
104.238	4	Aircraft2_70%_4.jpg	1	0.75	104.238	107.971	105.467	1
108.257	4	Aircraft1_70%_43.jpg	0	0.75	108.257	111.989	109.084	0
112.265	4	Aircraft1_70%_9.jpg	0	0.75	112.265	116	113.521	0
116.325	4	Aircraft1_70%_11.jpg	0	0.75	116.325	120.06	117.916	0
120.349	4	Aircraft1_70%_50.jpg	0	0.75	120.349	124.081	122.116	0
124.365	4	rest.jpg	n/a	n/a	124.365	128.118	128.365	n/a
128.352	4	rest.jpg	n/a	n/a	128.352	132.089	132.352	n/a
132.336	4	rest.jpg	n/a	n/a	132.336	136.067	136.336	n/a
136.338	4	Aircraft1_10%_36.jpg	0	0.1	136.338	140.068	137.725	0
140.363	4	Aircraft1_10%_35.jpg	0	0.1	140.363	144.094	141.058	0
144.381	4	Aircraft2_10%_3.jpg	1	0.1	144.381	148.125	145.448	1
148.46	4	Aircraft1_10%_5.jpg	0	0.1	148.46	152.19	149.264	0
152.48	4	Aircraft1_10%_48.jpg	0	0.1	152.48	156.212	153.277	0
156.496	4	rest.jpg	n/a	n/a	156.496	160.232	160.496	n/a
160.469	4	rest.jpg	n/a	n/a	160.469	164.2	164.469	n/a
164.432	4	rest.jpg	n/a	n/a	164.432	168.175	168.432	n/a
168.459	4	Aircraft1_90%_3.jpg	0	0.9	168.459	172.194	170.077	0
172.461	4	Aircraft2_90%_28.jpg	1	0.9	172.461	176.191	173.527	1
176.473	4	Aircraft1_90%_24.jpg	0	0.9	176.473	180.209	177.461	0
180.52	4	Aircraft2_90%_39.jpg	1	0.9	180.52	184.255	181.63	1
184.544	4	Aircraft2_90%_8.jpg	1	0.9	184.544	188.281	186.958	1
188.551	4	rest.jpg	n/a	n/a	188.551	192.283	192.551	n/a
192.531	4	rest.jpg	n/a	n/a	192.531	196.262	196.531	n/a
196.497	4	rest.jpg	n/a	n/a	196.497	200.227	200.497	n/a
200.518	4	Aircraft2_70%_18.jpg	1	0.75	200.518	204.25	202.156	1
204.535	4	Aircraft1_70%_29.jpg	0	0.75	204.535	208.267	206.966	0
208.558	4	Aircraft2_70%_1.jpg	1	0.75	208.558	212.29	210.276	1
212.579	4	Aircraft1_70%_26.jpg	0	0.75	212.579	216.311	214.393	0
216.643	4	Aircraft2_70%_34.jpg	1	0.75	216.643	220.375	218.136	1
220.648	4	rest.jpg	n/a	n/a	220.648	224.385	224.648	n/a
224.644	4	rest.jpg	n/a	n/a	224.644	228.374	228.644	n/a
228.608	4	rest.jpg	n/a	n/a	228.608	232.345	232.608	n/a
232.624	4	Aircraft2_10%_17.jpg	1	0.1	232.624	236.362	233.51	1
236.636	4	Aircraft2_10%_11.jpg	1	0.1	236.636	240.373	237.844	1
240.704	4	Aircraft1_10%_20.jpg	0	0.1	240.704	244.45	241.416	0
244.723	4	Aircraft2_10%_47.jpg	1	0.1	244.723	248.453	246.266	1
248.772	4	Aircraft2_10%_45.jpg	1	0.1	248.772	252.51	250.201	1
252.791	4	rest.jpg	n/a	n/a	252.791	256.524	256.791	n/a
256.758	4	rest.jpg	n/a	n/a	256.758	260.49	260.758	n/a
260.734	4	rest.jpg	n/a	n/a	260.734	264.47	264.734	n/a
264.737	4	Aircraft1_90%_25.jpg	0	0.9	264.737	268.473	266.313	0
268.785	4	Aircraft2_90%_49.jpg	1	0.9	268.785	272.52	270.466	1
272.8	4	Aircraft2_90%_10.jpg	1	0.9	272.8	276.536	275.378	1
276.803	4	Aircraft2_90%_12.jpg	1	0.9	276.803	280.539	279.924	1
280.827	4	Aircraft2_90%_7.jpg	1	0.9	280.827	284.559	281.985	1
284.845	4	rest.jpg	n/a	n/a	284.845	288.577	288.845	n/a
288.827	4	rest.jpg	n/a	n/a	288.827	292.557	292.827	n/a
292.791	4	rest.jpg	n/a	n/a	292.791	296.526	296.791	n/a
296.811	4	Aircraft1_70%_32.jpg	0	0.75	296.811	300.546	298.127	0
300.878	4	Aircraft1_70%_49.jpg	0	0.75	300.878	304.608	301.944	0
304.931	4	Aircraft2_70%_22.jpg	1	0.75	304.931	308.666	305.786	1
308.955	4	Aircraft1_70%_34.jpg	0	0.75	308.955	312.686	310.34	0
312.973	4	Aircraft1_70%_14.jpg	0	0.75	312.973	316.709	316.186	0
316.979	4	rest.jpg	n/a	n/a	316.979	320.716	320.979	n/a
320.965	4	rest.jpg	n/a	n/a	320.965	324.7	324.965	n/a
324.934	4	rest.jpg	n/a	n/a	324.934	328.672	328.934	n/a
328.947	4	Aircraft1_10%_1.jpg	0	0.1	328.947	332.682	329.678	0
332.953	4	Aircraft1_10%_47.jpg	0	0.1	332.953	336.691	334.161	0
336.976	4	Aircraft1_10%_40.jpg	0	0.1	336.976	340.711	338.3	0
341.028	4	Aircraft1_10%_27.jpg	0	0.1	341.028	344.76	342.336	0
345.041	4	Aircraft2_10%_35.jpg	1	0.1	345.041	348.777	346.213	1
349.059	4	rest.jpg	n/a	n/a	349.059	352.795	353.059	n/a
353.028	4	rest.jpg	n/a	n/a	353.028	356.763	357.028	n/a
357.014	4	rest.jpg	n/a	n/a	357.014	360.747	361.014	n/a
361.028	4	Aircraft1_90%_32.jpg	0	0.9	361.028	364.758	362.025	0
365.025	4	Aircraft1_90%_49.jpg	0	0.9	365.025	368.755	366.519	0
369.037	4	Aircraft2_90%_22.jpg	1	0.9	369.037	372.769	371.931	1
373.052	4	Aircraft1_90%_34.jpg	0	0.9	373.052	376.782	374.266	0
377.059	4	Aircraft1_90%_14.jpg	0	0.9	377.059	380.795	379.003	0
381.08	4	rest.jpg	n/a	n/a	381.08	384.81	385.08	n/a
385.044	4	rest.jpg	n/a	n/a	385.044	388.776	389.044	n/a
389.01	4	rest.jpg	n/a	n/a	389.01	392.746	393.01	n/a
393.048	4	Aircraft2_70%_24.jpg	1	0.75	393.048	396.779	394.215	1
397.06	4	Aircraft2_70%_2.jpg	1	0.75	397.06	400.796	398.251	1
401.097	4	Aircraft2_70%_43.jpg	1	0.75	401.097	404.832	403.496	1
405.121	4	Aircraft2_70%_46.jpg	1	0.75	405.121	408.851	408.066	1
409.175	4	Aircraft1_70%_42.jpg	0	0.75	409.175	412.905	410.26	0
413.174	4	rest.jpg	n/a	n/a	413.174	416.904	417.174	n/a
417.138	4	rest.jpg	n/a	n/a	417.138	420.868	421.138	n/a
421.113	4	rest.jpg	n/a	n/a	421.113	424.843	425.113	n/a
425.135	4	Aircraft2_10%_30.jpg	1	0.1	425.135	428.866	426.159	1
429.136	4	Aircraft2_10%_27.jpg	1	0.1	429.136	432.871	429.765	1
433.167	4	Aircraft2_10%_50.jpg	1	0.1	433.167	436.897	434.586	1
437.198	4	Aircraft2_10%_29.jpg	1	0.1	437.198	440.928	438.919	1
441.204	4	Aircraft1_10%_6.jpg	0	0.1	441.204	444.939	442.765	0
445.225	4	rest.jpg	n/a	n/a	445.225	448.955	449.225	n/a
449.187	4	rest.jpg	n/a	n/a	449.187	452.922	453.187	n/a
453.17	4	rest.jpg	n/a	n/a	453.17	456.905	457.17	n/a
457.21	4	Aircraft2_90%_18.jpg	1	0.9	457.21	460.941	458.753	1
461.224	4	Aircraft1_90%_29.jpg	0	0.9	461.224	464.954	462.673	0
465.276	4	Aircraft2_90%_1.jpg	1	0.9	465.276	469.011	466.727	1
469.319	4	Aircraft1_90%_26.jpg	0	0.9	469.319	473.049	472.5	0
473.317	4	Aircraft2_90%_34.jpg	1	0.9	473.317	477.053	474.547	1
477.324	4	rest.jpg	n/a	n/a	477.324	481.055	481.324	n/a
481.287	4	rest.jpg	n/a	n/a	481.287	485.023	485.287	n/a
485.255	4	rest.jpg	n/a	n/a	485.255	488.991	489.255	n/a
489.279	4	Aircraft1_70%_17.jpg	0	0.75	489.279	493.015	490.297	0
493.299	4	Aircraft2_70%_42.jpg	1	0.75	493.299	497.036	494.317	1
497.32	4	Aircraft2_70%_44.jpg	1	0.75	497.32	501.052	498.438	1
501.325	4	Aircraft1_70%_10.jpg	0	0.75	501.325	505.056	502.309	0
505.348	4	Aircraft2_70%_25.jpg	1	0.75	505.348	509.081	506.909	1
509.367	4	rest.jpg	n/a	n/a	509.367	513.097	513.367	n/a
513.348	4	rest.jpg	n/a	n/a	513.348	517.08	517.348	n/a
517.314	4	rest.jpg	n/a	n/a	517.314	521.045	521.314	n/a
521.342	4	Aircraft1_10%_38.jpg	0	0.1	521.342	525.077	522.006	0
525.365	4	Aircraft2_10%_21.jpg	1	0.1	525.365	529.095	526.55	1
529.37	4	Aircraft1_10%_16.jpg	0	0.1	529.37	533.1	530.69	0
533.414	4	Aircraft1_10%_46.jpg	0	0.1	533.414	537.146	534.524	0
537.427	4	Aircraft2_10%_40.jpg	1	0.1	537.427	541.157	538.862	1
541.442	4	rest.jpg	n/a	n/a	541.442	545.18	545.442	n/a
545.426	4	rest.jpg	n/a	n/a	545.426	549.162	549.426	n/a
549.396	4	rest.jpg	n/a	n/a	549.396	553.132	553.396	n/a
553.398	4	Aircraft2_90%_4.jpg	1	0.9	553.398	557.133	554.518	1
557.4	4	Aircraft1_90%_43.jpg	0	0.9	557.4	561.136	558.617	0
561.419	4	Aircraft1_90%_9.jpg	0	0.9	561.419	565.149	563.733	0
565.414	4	Aircraft1_90%_11.jpg	0	0.9	565.414	569.151	568.351	0
569.466	4	Aircraft1_90%_50.jpg	0	0.9	569.466	573.199	573.466	0
573.487	4	rest.jpg	n/a	n/a	573.487	577.224	577.487	n/a
577.468	4	rest.jpg	n/a	n/a	577.468	581.204	581.468	n/a
581.453	4	rest.jpg	n/a	n/a	581.453	585.185	585.453	n/a
585.458	4	Aircraft1_70%_12.jpg	0	0.75	585.458	589.187	586.326	0
589.472	4	Aircraft2_70%_32.jpg	1	0.75	589.472	593.203	591.8	1
593.486	4	Aircraft2_70%_48.jpg	1	0.75	593.486	597.218	594.66	1
597.556	4	Aircraft1_70%_19.jpg	0	0.75	597.556	601.287	598.455	0
601.56	4	Aircraft1_70%_33.jpg	0	0.75	601.56	605.296	603.935	0
605.566	4	rest.jpg	n/a	n/a	605.566	609.301	609.566	n/a
609.535	4	rest.jpg	n/a	n/a	609.535	613.27	613.535	n/a
613.504	4	rest.jpg	n/a	n/a	613.504	617.24	617.504	n/a
617.527	4	Aircraft2_10%_23.jpg	1	0.1	617.527	621.257	618.513	1
621.528	4	Aircraft1_10%_28.jpg	0	0.1	621.528	625.265	622.639	0
625.558	4	Aircraft2_10%_13.jpg	1	0.1	625.558	629.288	628.235	1
629.559	4	Aircraft1_10%_45.jpg	0	0.1	629.559	633.296	631.467	0
633.571	4	Aircraft1_10%_37.jpg	0	0.1	633.571	637.301	634.682	0
637.587	4	rest.jpg	n/a	n/a	637.587	641.318	641.587	n/a
