onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.989	4	Aircraft1_10%_17.jpg	0	0.1	39.989	43.725	42.663	0
44.018	4	Aircraft2_10%_42.jpg	1	0.1	44.018	47.751	44.9	1
48.035	4	Aircraft2_10%_44.jpg	1	0.1	48.035	51.767	48.879	1
52.067	4	Aircraft1_10%_10.jpg	0	0.1	52.067	55.801	52.831	0
56.092	4	Aircraft2_10%_25.jpg	1	0.1	56.092	59.821	57.007	1
60.094	4	rest.jpg	NaN	NaN	60.094	63.826	64.094	NaN
64.064	4	rest.jpg	NaN	NaN	64.064	67.793	68.064	NaN
68.04	4	rest.jpg	NaN	NaN	68.04	71.776	72.04	NaN
72.042	4	Aircraft1_90%_12.jpg	0	0.9	72.042	75.776	74.398	0
76.055	4	Aircraft2_90%_32.jpg	1	0.9	76.055	79.788	77.174	1
80.053	4	Aircraft2_90%_48.jpg	1	0.9	80.053	83.789	84.053	1
84.069	4	Aircraft1_90%_19.jpg	0	0.9	84.069	87.799	84.071	0
88.087	4	Aircraft1_90%_33.jpg	0	0.9	88.087	91.824	90.642	0
92.112	4	rest.jpg	NaN	NaN	92.112	95.848	96.112	NaN
96.083	4	rest.jpg	NaN	NaN	96.083	99.82	100.083	NaN
100.072	4	rest.jpg	NaN	NaN	100.072	103.808	104.072	NaN
104.078	4	Aircraft2_70%_33.jpg	1	0.75	104.078	107.807	105.189	1
108.103	4	Aircraft2_70%_38.jpg	1	0.75	108.103	111.832	109.31	1
112.111	4	Aircraft1_70%_30.jpg	0	0.75	112.111	115.84	114.529	0
116.171	4	Aircraft1_70%_41.jpg	0	0.75	116.171	119.905	120.171	0
120.179	4	Aircraft1_70%_18.jpg	0	0.75	120.179	123.908	120.38	0
124.202	4	rest.jpg	NaN	NaN	124.202	127.934	128.202	NaN
128.185	4	rest.jpg	NaN	NaN	128.185	131.921	132.185	NaN
132.174	4	rest.jpg	NaN	NaN	132.174	135.903	136.174	NaN
136.18	4	Aircraft2_10%_24.jpg	1	0.1	136.18	139.917	138.157	1
140.199	4	Aircraft2_10%_2.jpg	1	0.1	140.199	143.93	141.501	1
144.223	4	Aircraft2_10%_43.jpg	1	0.1	144.223	147.952	145.059	1
148.244	4	Aircraft2_10%_46.jpg	1	0.1	148.244	151.973	149.124	1
152.255	4	Aircraft1_10%_42.jpg	0	0.1	152.255	155.984	152.977	0
156.274	4	rest.jpg	NaN	NaN	156.274	160.004	160.274	NaN
160.254	4	rest.jpg	NaN	NaN	160.254	163.983	164.254	NaN
164.22	4	rest.jpg	NaN	NaN	164.22	167.952	168.22	NaN
168.221	4	Aircraft2_90%_9.jpg	1	0.9	168.221	171.955	170.417	1
172.225	4	Aircraft2_90%_6.jpg	1	0.9	172.225	175.954	174.559	1
176.223	4	Aircraft1_90%_23.jpg	0	0.9	176.223	179.958	177.912	0
180.226	4	Aircraft1_90%_21.jpg	0	0.9	180.226	183.954	183.105	0
184.22	4	Aircraft2_90%_36.jpg	1	0.9	184.22	187.956	185.997	1
188.246	4	rest.jpg	NaN	NaN	188.246	191.975	192.246	NaN
192.224	4	rest.jpg	NaN	NaN	192.224	195.959	196.224	NaN
196.216	4	rest.jpg	NaN	NaN	196.216	199.95	200.216	NaN
200.225	4	Aircraft2_70%_31.jpg	1	0.75	200.225	203.96	201.887	1
204.249	4	Aircraft1_70%_4.jpg	0	0.75	204.249	207.978	205.197	0
208.252	4	Aircraft2_70%_20.jpg	1	0.75	208.252	211.981	210.195	1
212.275	4	Aircraft1_70%_7.jpg	0	0.75	212.275	216.005	215.114	0
216.28	4	Aircraft1_70%_8.jpg	0	0.75	216.28	220.009	218.247	0
220.278	4	rest.jpg	NaN	NaN	220.278	224.01	224.278	NaN
224.243	4	rest.jpg	NaN	NaN	224.243	227.972	228.243	NaN
228.224	4	rest.jpg	NaN	NaN	228.224	231.958	232.224	NaN
232.235	4	Aircraft2_10%_31.jpg	1	0.1	232.235	235.967	233.907	1
236.26	4	Aircraft1_10%_4.jpg	0	0.1	236.26	239.994	237.356	0
240.268	4	Aircraft2_10%_20.jpg	1	0.1	240.268	244.004	242.792	1
244.284	4	Aircraft1_10%_7.jpg	0	0.1	244.284	248.013	245.055	0
248.308	4	Aircraft1_10%_8.jpg	0	0.1	248.308	252.042	249.115	0
252.331	4	rest.jpg	NaN	NaN	252.331	256.065	256.331	NaN
256.298	4	rest.jpg	NaN	NaN	256.298	260.032	260.298	NaN
260.275	4	rest.jpg	NaN	NaN	260.275	264.004	264.275	NaN
264.289	4	Aircraft2_90%_41.jpg	1	0.9	264.289	268.024	268.289	1
268.31	4	Aircraft1_90%_22.jpg	0	0.9	268.31	272.044	270.847	0
272.314	4	Aircraft1_90%_44.jpg	0	0.9	272.314	276.044	275.73	0
276.312	4	Aircraft1_90%_1.jpg	0	0.9	276.312	280.047	279.215	0
280.314	4	Aircraft2_90%_37.jpg	1	0.9	280.314	284.044	281.384	1
284.314	4	rest.jpg	NaN	NaN	284.314	288.049	288.314	NaN
288.283	4	rest.jpg	NaN	NaN	288.283	292.016	292.283	NaN
292.271	4	rest.jpg	NaN	NaN	292.271	296.005	296.271	NaN
296.276	4	Aircraft2_70%_41.jpg	1	0.75	296.276	300.005	298.771	1
300.279	4	Aircraft1_70%_22.jpg	0	0.75	300.279	304.008	301.542	0
304.296	4	Aircraft1_70%_44.jpg	0	0.75	304.296	308.031	307.425	0
308.318	4	Aircraft1_70%_1.jpg	0	0.75	308.318	312.053	309.222	0
312.336	4	Aircraft2_70%_37.jpg	1	0.75	312.336	316.065	314.748	1
316.335	4	rest.jpg	NaN	NaN	316.335	320.066	320.335	NaN
320.3	4	rest.jpg	NaN	NaN	320.3	324.035	324.3	NaN
324.269	4	rest.jpg	NaN	NaN	324.269	327.998	328.269	NaN
328.271	4	Aircraft2_10%_33.jpg	1	0.1	328.271	332.008	329.762	1
332.302	4	Aircraft2_10%_38.jpg	1	0.1	332.302	336.033	333.049	1
336.308	4	Aircraft1_10%_30.jpg	0	0.1	336.308	340.037	338.204	0
340.328	4	Aircraft1_10%_41.jpg	0	0.1	340.328	344.06	341.035	0
344.331	4	Aircraft1_10%_18.jpg	0	0.1	344.331	348.062	345.807	0
348.35	4	rest.jpg	NaN	NaN	348.35	352.079	352.35	NaN
352.316	4	rest.jpg	NaN	NaN	352.316	356.048	356.316	NaN
356.3	4	rest.jpg	NaN	NaN	356.3	360.031	360.3	NaN
360.298	4	Aircraft2_90%_23.jpg	1	0.9	360.298	364.026	363.149	1
364.309	4	Aircraft1_90%_28.jpg	0	0.9	364.309	368.039	365.175	0
368.306	4	Aircraft2_90%_13.jpg	1	0.9	368.306	372.041	371.754	1
372.306	4	Aircraft1_90%_45.jpg	0	0.9	372.306	376.041	374.489	0
376.32	4	Aircraft1_90%_37.jpg	0	0.9	376.32	380.05	380.32	0
380.32	4	rest.jpg	NaN	NaN	380.32	384.051	384.32	NaN
384.285	4	rest.jpg	NaN	NaN	384.285	388.024	388.285	NaN
388.273	4	rest.jpg	NaN	NaN	388.273	392.004	392.273	NaN
392.277	4	Aircraft1_70%_2.jpg	0	0.75	392.277	396.012	394.957	0
396.285	4	Aircraft1_70%_39.jpg	0	0.75	396.285	400.017	399.557	0
400.29	4	Aircraft2_70%_26.jpg	1	0.75	400.29	404.024	402.125	1
404.299	4	Aircraft1_70%_15.jpg	0	0.75	404.299	408.03	406.857	0
408.319	4	Aircraft2_70%_16.jpg	1	0.75	408.319	412.05	409.542	1
412.319	4	rest.jpg	NaN	NaN	412.319	416.048	416.319	NaN
416.298	4	rest.jpg	NaN	NaN	416.298	420.027	420.298	NaN
420.277	4	rest.jpg	NaN	NaN	420.277	424.009	424.277	NaN
424.295	4	Aircraft2_10%_4.jpg	1	0.1	424.295	428.025	425.842	1
428.3	4	Aircraft1_10%_43.jpg	0	0.1	428.3	432.034	429.431	0
432.308	4	Aircraft1_10%_9.jpg	0	0.1	432.308	436.042	433.712	0
436.316	4	Aircraft1_10%_11.jpg	0	0.1	436.316	440.045	437.158	0
440.331	4	Aircraft1_10%_50.jpg	0	0.1	440.331	444.06	442.039	0
444.35	4	rest.jpg	NaN	NaN	444.35	448.08	448.35	NaN
448.329	4	rest.jpg	NaN	NaN	448.329	452.061	452.329	NaN
452.295	4	rest.jpg	NaN	NaN	452.295	456.029	456.295	NaN
456.296	4	Aircraft1_90%_38.jpg	0	0.9	456.296	460.032	458.047	0
460.298	4	Aircraft2_90%_21.jpg	1	0.9	460.298	464.027	464.298	1
