onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40	4	Aircraft1_10%_2.jpg	0	0.1	40	43.73	42.083	0
44.01	4	Aircraft1_10%_39.jpg	0	0.1	44.01	47.746	45.903	0
48.028	4	Aircraft2_10%_26.jpg	1	0.1	48.028	51.764	49.084	1
52.033	4	Aircraft1_10%_15.jpg	0	0.1	52.033	55.764	53.455	0
56.032	4	Aircraft2_10%_16.jpg	1	0.1	56.032	59.763	57.249	1
60.027	4	rest.jpg	n/a	n/a	60.027	63.761	64.027	n/a
64.009	4	rest.jpg	n/a	n/a	64.009	67.747	68.009	n/a
67.995	4	rest.jpg	n/a	n/a	67.995	71.735	71.995	n/a
72.012	4	Aircraft2_90%_14.jpg	1	0.9	72.012	75.744	74.709	1
76.025	4	Aircraft2_90%_5.jpg	1	0.9	76.025	79.76	78.344	1
80.039	4	Aircraft2_90%_15.jpg	1	0.9	80.039	83.774	84.039	1
84.054	4	Aircraft2_90%_19.jpg	1	0.9	84.054	87.786	84.117	1
88.073	4	Aircraft1_90%_31.jpg	0	0.9	88.073	91.809	91.665	0
92.076	4	rest.jpg	n/a	n/a	92.076	95.806	96.076	n/a
96.038	4	rest.jpg	n/a	n/a	96.038	99.768	100.038	n/a
100.001	4	rest.jpg	n/a	n/a	100.001	103.732	104.001	n/a
104.019	4	Aircraft2_70%_4.jpg	1	0.75	104.019	107.751	108.019	1
108.019	4	Aircraft1_70%_43.jpg	0	0.75	108.019	111.751	111.599	0
112.033	4	Aircraft1_70%_9.jpg	0	0.75	112.033	115.763	116.033	0
116.029	4	Aircraft1_70%_11.jpg	0	0.75	116.029	119.765	120.029	0
120.044	4	Aircraft1_70%_50.jpg	0	0.75	120.044	123.778	120.312	0
124.057	4	rest.jpg	n/a	n/a	124.057	127.789	128.057	n/a
128.037	4	rest.jpg	n/a	n/a	128.037	131.769	132.037	n/a
132.001	4	rest.jpg	n/a	n/a	132.001	135.733	136.001	n/a
135.998	4	Aircraft1_10%_36.jpg	0	0.1	135.998	139.729	137.858	0
140.012	4	Aircraft1_10%_35.jpg	0	0.1	140.012	143.745	141.568	0
144.029	4	Aircraft2_10%_3.jpg	1	0.1	144.029	147.76	145.13	1
148.05	4	Aircraft1_10%_5.jpg	0	0.1	148.05	151.782	148.987	0
152.049	4	Aircraft1_10%_48.jpg	0	0.1	152.049	155.783	153.192	0
156.046	4	rest.jpg	n/a	n/a	156.046	159.777	160.046	n/a
160.024	4	rest.jpg	n/a	n/a	160.024	163.76	164.024	n/a
164.009	4	rest.jpg	n/a	n/a	164.009	167.746	168.009	n/a
168.027	4	Aircraft1_90%_3.jpg	0	0.9	168.027	171.76	170.138	0
172.039	4	Aircraft2_90%_28.jpg	1	0.9	172.039	175.773	174.064	1
176.035	4	Aircraft1_90%_24.jpg	0	0.9	176.035	179.768	177.984	0
180.048	4	Aircraft2_90%_39.jpg	1	0.9	180.048	183.779	181.493	1
184.058	4	Aircraft2_90%_8.jpg	1	0.9	184.058	187.793	185.273	1
188.074	4	rest.jpg	n/a	n/a	188.074	191.81	192.074	n/a
192.04	4	rest.jpg	n/a	n/a	192.04	195.776	196.04	n/a
196.02	4	rest.jpg	n/a	n/a	196.02	199.757	200.02	n/a
200.044	4	Aircraft2_70%_18.jpg	1	0.75	200.044	203.777	201.021	1
204.068	4	Aircraft1_70%_29.jpg	0	0.75	204.068	207.804	204.92	0
208.078	4	Aircraft2_70%_1.jpg	1	0.75	208.078	211.814	210.289	1
212.093	4	Aircraft1_70%_26.jpg	0	0.75	212.093	215.832	213.521	0
216.111	4	Aircraft2_70%_34.jpg	1	0.75	216.111	219.846	217.555	1
220.135	4	rest.jpg	n/a	n/a	220.135	223.866	224.135	n/a
224.099	4	rest.jpg	n/a	n/a	224.099	227.837	228.099	n/a
228.072	4	rest.jpg	n/a	n/a	228.072	231.802	232.072	n/a
232.074	4	Aircraft2_10%_17.jpg	1	0.1	232.074	235.812	233.726	1
236.107	4	Aircraft2_10%_11.jpg	1	0.1	236.107	239.842	236.88	1
240.137	4	Aircraft1_10%_20.jpg	0	0.1	240.137	243.868	241.001	0
244.144	4	Aircraft2_10%_47.jpg	1	0.1	244.144	247.874	245.062	1
248.145	4	Aircraft2_10%_45.jpg	1	0.1	248.145	251.877	249.665	1
252.149	4	rest.jpg	n/a	n/a	252.149	255.886	256.149	n/a
256.137	4	rest.jpg	n/a	n/a	256.137	259.867	260.137	n/a
260.119	4	rest.jpg	n/a	n/a	260.119	263.852	264.119	n/a
264.121	4	Aircraft1_90%_25.jpg	0	0.9	264.121	267.857	265.884	0
268.142	4	Aircraft2_90%_49.jpg	1	0.9	268.142	271.879	269.97	1
