onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.997	4	Aircraft1_10%_2.jpg	0	0.1	39.997	43.728	42.139	0
43.999	4	Aircraft1_10%_39.jpg	0	0.1	43.999	47.738	46.611	0
48.025	4	Aircraft2_10%_26.jpg	1	0.1	48.025	51.758	50.161	1
52.049	4	Aircraft1_10%_15.jpg	0	0.1	52.049	55.786	53.928	0
56.054	4	Aircraft2_10%_16.jpg	1	0.1	56.054	59.789	58.048	1
60.065	4	rest.jpg	NaN	NaN	60.065	63.795	64.065	NaN
64.044	4	rest.jpg	NaN	NaN	64.044	67.778	68.044	NaN
68.028	4	rest.jpg	NaN	NaN	68.028	71.761	72.028	NaN
72.043	4	Aircraft2_90%_14.jpg	1	0.9	72.043	75.78	74.116	1
76.041	4	Aircraft2_90%_5.jpg	1	0.9	76.041	79.772	78.196	1
80.032	4	Aircraft2_90%_15.jpg	1	0.9	80.032	83.766	82.141	1
84.027	4	Aircraft2_90%_19.jpg	1	0.9	84.027	87.763	86.585	1
88.024	4	Aircraft1_90%_31.jpg	0	0.9	88.024	91.757	91.284	0
92.021	4	rest.jpg	NaN	NaN	92.021	95.757	96.021	NaN
95.992	4	rest.jpg	NaN	NaN	95.992	99.724	99.992	NaN
99.972	4	rest.jpg	NaN	NaN	99.972	103.707	103.972	NaN
103.972	4	Aircraft2_70%_4.jpg	1	0.75	103.972	107.703	105.573	1
107.969	4	Aircraft1_70%_43.jpg	0	0.75	107.969	111.706	110.766	0
111.99	4	Aircraft1_70%_9.jpg	0	0.75	111.99	115.725	115.99	0
115.994	4	Aircraft1_70%_11.jpg	0	0.75	115.994	119.728	119.994	0
120.011	4	Aircraft1_70%_50.jpg	0	0.75	120.011	123.746	122.988	0
124.01	4	rest.jpg	NaN	NaN	124.01	127.74	128.01	NaN
127.972	4	rest.jpg	NaN	NaN	127.972	131.708	131.972	NaN
131.938	4	rest.jpg	NaN	NaN	131.938	135.673	135.938	NaN
135.954	4	Aircraft1_10%_36.jpg	0	0.1	135.954	139.686	137.938	0
139.97	4	Aircraft1_10%_35.jpg	0	0.1	139.97	143.701	141.984	0
143.982	4	Aircraft2_10%_3.jpg	1	0.1	143.982	147.718	145.755	1
148.007	4	Aircraft1_10%_5.jpg	0	0.1	148.007	151.739	149.776	0
152.007	4	Aircraft1_10%_48.jpg	0	0.1	152.007	155.743	154.573	0
156.028	4	rest.jpg	NaN	NaN	156.028	159.759	160.028	NaN
159.993	4	rest.jpg	NaN	NaN	159.993	163.728	163.993	NaN
163.976	4	rest.jpg	NaN	NaN	163.976	167.709	167.976	NaN
167.969	4	Aircraft1_90%_3.jpg	0	0.9	167.969	171.706	171.243	0
171.986	4	Aircraft2_90%_28.jpg	1	0.9	171.986	175.72	175.509	1
175.999	4	Aircraft1_90%_24.jpg	0	0.9	175.999	179.736	179.474	0
180.018	4	Aircraft2_90%_39.jpg	1	0.9	180.018	183.748	184.018	1
184.01	4	Aircraft2_90%_8.jpg	1	0.9	184.01	187.747	186.121	1
188.031	4	rest.jpg	NaN	NaN	188.031	191.761	192.031	NaN
192.011	4	rest.jpg	NaN	NaN	192.011	195.744	196.011	NaN
195.99	4	rest.jpg	NaN	NaN	195.99	199.722	199.99	NaN
200.012	4	Aircraft2_70%_18.jpg	1	0.75	200.012	203.742	202.265	1
204.035	4	Aircraft1_70%_29.jpg	0	0.75	204.035	207.776	205.678	0
208.058	4	Aircraft2_70%_1.jpg	1	0.75	208.058	211.794	210.262	1
212.06	4	Aircraft1_70%_26.jpg	0	0.75	212.06	215.792	214.854	0
216.061	4	Aircraft2_70%_34.jpg	1	0.75	216.061	219.791	218.934	1
220.058	4	rest.jpg	NaN	NaN	220.058	223.793	224.058	NaN
224.037	4	rest.jpg	NaN	NaN	224.037	227.772	228.037	NaN
228.021	4	rest.jpg	NaN	NaN	228.021	231.752	232.021	NaN
232.016	4	Aircraft2_10%_17.jpg	1	0.1	232.016	235.748	234.038	1
236.035	4	Aircraft2_10%_11.jpg	1	0.1	236.035	239.764	238.81	1
240.048	4	Aircraft1_10%_20.jpg	0	0.1	240.048	243.78	241.257	0
244.046	4	Aircraft2_10%_47.jpg	1	0.1	244.046	247.784	245.208	1
248.066	4	Aircraft2_10%_45.jpg	1	0.1	248.066	251.801	250.062	1
252.068	4	rest.jpg	NaN	NaN	252.068	255.8	256.068	NaN
256.031	4	rest.jpg	NaN	NaN	256.031	259.768	260.031	NaN
260.018	4	rest.jpg	NaN	NaN	260.018	263.756	264.018	NaN
264.036	4	Aircraft1_90%_25.jpg	0	0.9	264.036	267.774	265.614	0
268.052	4	Aircraft2_90%_49.jpg	1	0.9	268.052	271.785	271.004	1
272.046	4	Aircraft2_90%_10.jpg	1	0.9	272.046	275.785	274.126	1
276.044	4	Aircraft2_90%_12.jpg	1	0.9	276.044	279.775	277.684	1
280.034	4	Aircraft2_90%_7.jpg	1	0.9	280.034	283.769	284.034	1
284.04	4	rest.jpg	NaN	NaN	284.04	287.773	288.04	NaN
288.005	4	rest.jpg	NaN	NaN	288.005	291.735	292.005	NaN
291.967	4	rest.jpg	NaN	NaN	291.967	295.698	295.967	NaN
295.976	4	Aircraft1_70%_32.jpg	0	0.75	295.976	299.71	298.293	0
299.976	4	Aircraft1_70%_49.jpg	0	0.75	299.976	303.713	302.631	0
303.975	4	Aircraft2_70%_22.jpg	1	0.75	303.975	307.707	305.755	1
307.993	4	Aircraft1_70%_34.jpg	0	0.75	307.993	311.73	310.622	0
312.011	4	Aircraft1_70%_14.jpg	0	0.75	312.011	315.742	314.724	0
316.004	4	rest.jpg	NaN	NaN	316.004	319.737	320.004	NaN
319.987	4	rest.jpg	NaN	NaN	319.987	323.724	323.987	NaN
323.973	4	rest.jpg	NaN	NaN	323.973	327.711	327.973	NaN
327.993	4	Aircraft1_10%_1.jpg	0	0.1	327.993	331.725	329.744	0
331.988	4	Aircraft1_10%_47.jpg	0	0.1	331.988	335.719	334.235	0
335.987	4	Aircraft1_10%_40.jpg	0	0.1	335.987	339.719	338.429	0
340.007	4	Aircraft1_10%_27.jpg	0	0.1	340.007	343.743	341.959	0
344.005	4	Aircraft2_10%_35.jpg	1	0.1	344.005	347.743	345.243	1
348.026	4	rest.jpg	NaN	NaN	348.026	351.757	352.026	NaN
351.987	4	rest.jpg	NaN	NaN	351.987	355.722	355.987	NaN
355.952	4	rest.jpg	NaN	NaN	355.952	359.684	359.952	NaN
359.945	4	Aircraft1_90%_32.jpg	0	0.9	359.945	363.684	361.9	0
363.944	4	Aircraft1_90%_49.jpg	0	0.9	363.944	367.675	365.639	0
367.955	4	Aircraft2_90%_22.jpg	1	0.9	367.955	371.694	371.028	1
371.976	4	Aircraft1_90%_34.jpg	0	0.9	371.976	375.708	374.386	0
375.983	4	Aircraft1_90%_14.jpg	0	0.9	375.983	379.718	378.717	0
379.98	4	rest.jpg	NaN	NaN	379.98	383.71	383.98	NaN
383.94	4	rest.jpg	NaN	NaN	383.94	387.675	387.94	NaN
387.905	4	rest.jpg	NaN	NaN	387.905	391.637	391.905	NaN
391.899	4	Aircraft2_70%_24.jpg	1	0.75	391.899	395.629	394.147	1
395.892	4	Aircraft2_70%_2.jpg	1	0.75	395.892	399.63	397.753	1
399.895	4	Aircraft2_70%_43.jpg	1	0.75	399.895	403.63	402.052	1
403.915	4	Aircraft2_70%_46.jpg	1	0.75	403.915	407.651	407.189	1
407.934	4	Aircraft1_70%_42.jpg	0	0.75	407.934	411.666	411.045	0
411.933	4	rest.jpg	NaN	NaN	411.933	415.662	415.933	NaN
415.891	4	rest.jpg	NaN	NaN	415.891	419.621	419.891	NaN
419.852	4	rest.jpg	NaN	NaN	419.852	423.582	423.852	NaN
423.865	4	Aircraft2_10%_30.jpg	1	0.1	423.865	427.6	426.137	1
427.864	4	Aircraft2_10%_27.jpg	1	0.1	427.864	431.6	429.9	1
431.881	4	Aircraft2_10%_50.jpg	1	0.1	431.881	435.617	433.849	1
435.888	4	Aircraft2_10%_29.jpg	1	0.1	435.888	439.62	438.629	1
439.906	4	Aircraft1_10%_6.jpg	0	0.1	439.906	443.641	441.134	0
443.927	4	rest.jpg	NaN	NaN	443.927	447.657	447.927	NaN
447.889	4	rest.jpg	NaN	NaN	447.889	451.625	451.889	NaN
451.872	4	rest.jpg	NaN	NaN	451.872	455.604	455.872	NaN
455.863	4	Aircraft2_90%_18.jpg	1	0.9	455.863	459.593	458.053	1
459.854	4	Aircraft1_90%_29.jpg	0	0.9	459.854	463.589	462.692	0
463.87	4	Aircraft2_90%_1.jpg	1	0.9	463.87	467.602	466.777	1
467.885	4	Aircraft1_90%_26.jpg	0	0.9	467.885	471.637	471.532	0
471.898	4	Aircraft2_90%_34.jpg	1	0.9	471.898	475.633	474.681	1
475.915	4	rest.jpg	NaN	NaN	475.915	479.65	479.915	NaN
479.897	4	rest.jpg	NaN	NaN	479.897	483.634	483.897	NaN
483.866	4	rest.jpg	NaN	NaN	483.866	487.597	487.866	NaN
487.879	4	Aircraft1_70%_17.jpg	0	0.75	487.879	491.609	490.654	0
491.874	4	Aircraft2_70%_42.jpg	1	0.75	491.874	495.606	493.053	1
495.889	4	Aircraft2_70%_44.jpg	1	0.75	495.889	499.627	498.207	1
499.893	4	Aircraft1_70%_10.jpg	0	0.75	499.893	503.626	502.063	0
503.892	4	Aircraft2_70%_25.jpg	1	0.75	503.892	507.623	505.851	1
507.887	4	rest.jpg	NaN	NaN	507.887	511.617	511.887	NaN
511.849	4	rest.jpg	NaN	NaN	511.849	515.582	515.849	NaN
515.815	4	rest.jpg	NaN	NaN	515.815	519.546	519.815	NaN
519.814	4	Aircraft1_10%_38.jpg	0	0.1	519.814	523.543	521.974	0
523.826	4	Aircraft2_10%_21.jpg	1	0.1	523.826	527.561	526.764	1
527.829	4	Aircraft1_10%_16.jpg	0	0.1	527.829	531.559	529.18	0
531.844	4	Aircraft1_10%_46.jpg	0	0.1	531.844	535.582	533.251	0
535.846	4	Aircraft2_10%_40.jpg	1	0.1	535.846	539.578	538.477	1
539.845	4	rest.jpg	NaN	NaN	539.845	543.581	543.845	NaN
543.827	4	rest.jpg	NaN	NaN	543.827	547.559	547.827	NaN
547.808	4	rest.jpg	NaN	NaN	547.808	551.545	551.808	NaN
551.824	4	Aircraft2_90%_4.jpg	1	0.9	551.824	555.558	553.573	1
555.841	4	Aircraft1_90%_43.jpg	0	0.9	555.841	559.575	557.921	0
559.834	4	Aircraft1_90%_9.jpg	0	0.9	559.834	563.567	563.077	0
563.827	4	Aircraft1_90%_11.jpg	0	0.9	563.827	567.557	567.827	0
567.83	4	Aircraft1_90%_50.jpg	0	0.9	567.83	571.56	571.195	0
571.846	4	rest.jpg	NaN	NaN	571.846	575.583	575.846	NaN
575.832	4	rest.jpg	NaN	NaN	575.832	579.562	579.832	NaN
579.794	4	rest.jpg	NaN	NaN	579.794	583.524	583.794	NaN
583.79	4	Aircraft1_70%_12.jpg	0	0.75	583.79	587.52	585.005	0
587.808	4	Aircraft2_70%_32.jpg	1	0.75	587.808	591.54	590.625	1
591.802	4	Aircraft2_70%_48.jpg	1	0.75	591.802	595.534	594.224	1
595.801	4	Aircraft1_70%_19.jpg	0	0.75	595.801	599.533	597.352	0
599.812	4	Aircraft1_70%_33.jpg	0	0.75	599.812	603.549	601.606	0
603.815	4	rest.jpg	NaN	NaN	603.815	607.548	607.815	NaN
607.78	4	rest.jpg	NaN	NaN	607.78	611.517	611.78	NaN
611.749	4	rest.jpg	NaN	NaN	611.749	615.479	615.749	NaN
615.766	4	Aircraft2_10%_23.jpg	1	0.1	615.766	619.502	618.489	1
619.789	4	Aircraft1_10%_28.jpg	0	0.1	619.789	623.521	621.207	0
623.788	4	Aircraft2_10%_13.jpg	1	0.1	623.788	627.518	626.484	1
627.797	4	Aircraft1_10%_45.jpg	0	0.1	627.797	631.533	630.353	0
631.799	4	Aircraft1_10%_37.jpg	0	0.1	631.799	635.535	634.961	0
635.821	4	rest.jpg	NaN	NaN	635.821	639.553	639.821	NaN
639.797	4	rest.jpg	NaN	NaN	639.797	643.53	643.797	NaN
643.762	4	rest.jpg	NaN	NaN	643.762	647.498	647.762	NaN
647.772	4	Aircraft2_90%_33.jpg	1	0.9	647.772	651.502	649.356	1
651.766	4	Aircraft2_90%_38.jpg	1	0.9	651.766	655.496	653.134	1
655.757	4	Aircraft1_90%_30.jpg	0	0.9	655.757	659.487	656.559	0
659.769	4	Aircraft1_90%_41.jpg	0	0.9	659.769	663.501	661.817	0
663.78	4	Aircraft1_90%_18.jpg	0	0.9	663.78	667.515	665.249	0
667.784	4	rest.jpg	NaN	NaN	667.784	671.514	671.784	NaN
671.744	4	rest.jpg	NaN	NaN	671.744	675.481	675.744	NaN
675.711	4	rest.jpg	NaN	NaN	675.711	679.441	679.711	NaN
679.707	4	Aircraft2_70%_9.jpg	1	0.75	679.707	683.443	681.922	1
683.725	4	Aircraft2_70%_6.jpg	1	0.75	683.725	687.46	685.498	1
687.727	4	Aircraft1_70%_23.jpg	0	0.75	687.727	691.462	689.593	0
691.75	4	Aircraft1_70%_21.jpg	0	0.75	691.75	695.485	693.473	0
695.772	4	Aircraft2_70%_36.jpg	1	0.75	695.772	699.507	696.991	1
699.789	4	rest.jpg	NaN	NaN	699.789	703.519	703.789	NaN
703.751	4	rest.jpg	NaN	NaN	703.751	707.483	707.751	NaN
707.715	4	rest.jpg	NaN	NaN	707.715	711.452	711.715	NaN
711.74	4	Aircraft2_10%_41.jpg	1	0.1	711.74	715.478	712.913	1
715.752	4	Aircraft1_10%_22.jpg	0	0.1	715.752	719.484	716.567	0
719.771	4	Aircraft1_10%_44.jpg	0	0.1	719.771	723.502	721.774	0
723.773	4	Aircraft1_10%_1.jpg	0	0.1	723.773	727.51	726.085	0
727.774	4	Aircraft2_10%_37.jpg	1	0.1	727.774	731.504	729.617	1
731.767	4	rest.jpg	NaN	NaN	731.767	735.502	735.767	NaN
735.732	4	rest.jpg	NaN	NaN	735.732	739.462	739.732	NaN
739.71	4	rest.jpg	NaN	NaN	739.71	743.443	743.71	NaN
