onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.989	4	Aircraft1_10%_17.jpg	0	0.1	39.989	43.719	40.735	0
44.018	4	Aircraft2_10%_42.jpg	1	0.1	44.018	47.748	44.641	1
48.03	4	Aircraft2_10%_44.jpg	1	0.1	48.03	51.766	48.866	1
52.05	4	Aircraft1_10%_10.jpg	0	0.1	52.05	55.781	52.657	0
56.064	4	Aircraft2_10%_25.jpg	1	0.1	56.064	59.801	56.753	1
60.066	4	rest.jpg	NaN	NaN	60.066	63.796	64.066	NaN
64.044	4	rest.jpg	NaN	NaN	64.044	67.777	68.044	NaN
68.01	4	rest.jpg	NaN	NaN	68.01	71.743	72.01	NaN
72.023	4	Aircraft1_90%_12.jpg	0	0.9	72.023	75.755	74.614	0
76.037	4	Aircraft2_90%_32.jpg	1	0.9	76.037	79.769	80.037	1
80.03	4	Aircraft2_90%_48.jpg	1	0.9	80.03	83.76	81.024	1
84.036	4	Aircraft1_90%_19.jpg	0	0.9	84.036	87.768	88.036	0
88.027	4	Aircraft1_90%_33.jpg	0	0.9	88.027	91.759	88.226	0
92.046	4	rest.jpg	NaN	NaN	92.046	95.776	96.046	NaN
96.026	4	rest.jpg	NaN	NaN	96.026	99.764	100.026	NaN
100.018	4	rest.jpg	NaN	NaN	100.018	103.749	104.018	NaN
104.017	4	Aircraft2_70%_33.jpg	1	0.75	104.017	107.749	105.197	1
108.021	4	Aircraft2_70%_38.jpg	1	0.75	108.021	111.759	109.667	1
112.053	4	Aircraft1_70%_30.jpg	0	0.75	112.053	115.784	113.261	0
116.052	4	Aircraft1_70%_41.jpg	0	0.75	116.052	119.787	117.913	0
120.056	4	Aircraft1_70%_18.jpg	0	0.75	120.056	123.791	122.36	0
124.08	4	rest.jpg	NaN	NaN	124.08	127.81	128.08	NaN
128.065	4	rest.jpg	NaN	NaN	128.065	131.794	132.065	NaN
132.028	4	rest.jpg	NaN	NaN	132.028	135.758	136.028	NaN
136.033	4	Aircraft2_10%_24.jpg	1	0.1	136.033	139.769	137.291	1
140.044	4	Aircraft2_10%_2.jpg	1	0.1	140.044	143.774	141.28	1
144.066	4	Aircraft2_10%_43.jpg	1	0.1	144.066	147.795	145.664	1
148.074	4	Aircraft2_10%_46.jpg	1	0.1	148.074	151.802	149.261	1
152.083	4	Aircraft1_10%_42.jpg	0	0.1	152.083	155.817	153.649	0
