onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.012	4	Aircraft1_10%_2.jpg	0	0.1	40.012	43.745	42.206	0
44.017	4	Aircraft1_10%_39.jpg	0	0.1	44.017	47.754	46.183	0
48.026	4	Aircraft2_10%_26.jpg	1	0.1	48.026	51.761	48.904	1
52.05	4	Aircraft1_10%_15.jpg	0	0.1	52.05	55.789	53.113	0
56.067	4	Aircraft2_10%_16.jpg	1	0.1	56.067	59.797	56.896	1
60.086	4	rest.jpg	NaN	NaN	60.086	63.819	64.086	NaN
64.07	4	rest.jpg	NaN	NaN	64.07	67.8	68.07	NaN
68.055	4	rest.jpg	NaN	NaN	68.055	71.785	72.055	NaN
72.073	4	Aircraft2_90%_14.jpg	1	0.9	72.073	75.803	76.073	1
76.093	4	Aircraft2_90%_5.jpg	1	0.9	76.093	79.825	77.104	1
80.112	4	Aircraft2_90%_15.jpg	1	0.9	80.112	83.847	82.453	1
84.136	4	Aircraft2_90%_19.jpg	1	0.9	84.136	87.872	88.136	1
88.16	4	Aircraft1_90%_31.jpg	0	0.9	88.16	91.895	89.425	0
92.167	4	rest.jpg	NaN	NaN	92.167	95.9	96.167	NaN
96.146	4	rest.jpg	NaN	NaN	96.146	99.876	100.146	NaN
100.13	4	rest.jpg	NaN	NaN	100.13	103.866	104.13	NaN
104.142	4	Aircraft2_70%_4.jpg	1	0.75	104.142	107.874	107.055	1
108.17	4	Aircraft1_70%_43.jpg	0	0.75	108.17	111.902	111.675	0
112.199	4	Aircraft1_70%_9.jpg	0	0.75	112.199	115.93	114.039	0
116.226	4	Aircraft1_70%_11.jpg	0	0.75	116.226	119.955	120.226	0
120.243	4	Aircraft1_70%_50.jpg	0	0.75	120.243	123.976	120.458	0
124.251	4	rest.jpg	NaN	NaN	124.251	127.988	128.251	NaN
128.236	4	rest.jpg	NaN	NaN	128.236	131.969	132.236	NaN
132.22	4	rest.jpg	NaN	NaN	132.22	135.952	136.22	NaN
136.237	4	Aircraft1_10%_36.jpg	0	0.1	136.237	139.967	138.366	0
140.232	4	Aircraft1_10%_35.jpg	0	0.1	140.232	143.968	140.99	0
144.255	4	Aircraft2_10%_3.jpg	1	0.1	144.255	147.988	145.383	1
148.277	4	Aircraft1_10%_5.jpg	0	0.1	148.277	152.007	149.235	0
152.296	4	Aircraft1_10%_48.jpg	0	0.1	152.296	156.027	153.185	0
156.309	4	rest.jpg	NaN	NaN	156.309	160.04	160.309	NaN
160.295	4	rest.jpg	NaN	NaN	160.295	164.027	164.295	NaN
164.27	4	rest.jpg	NaN	NaN	164.27	168.002	168.27	NaN
168.262	4	Aircraft1_90%_3.jpg	0	0.9	168.262	171.995	169.837	0
172.275	4	Aircraft2_90%_28.jpg	1	0.9	172.275	176.012	176.275	1
176.276	4	Aircraft1_90%_24.jpg	0	0.9	176.276	180.012	179.361	0
180.274	4	Aircraft2_90%_39.jpg	1	0.9	180.274	184.004	181.808	1
184.267	4	Aircraft2_90%_8.jpg	1	0.9	184.267	188.003	187.492	1
188.286	4	rest.jpg	NaN	NaN	188.286	192.02	192.286	NaN
192.269	4	rest.jpg	NaN	NaN	192.269	196.006	196.269	NaN
196.251	4	rest.jpg	NaN	NaN	196.251	199.983	200.251	NaN
200.272	4	Aircraft2_70%_18.jpg	1	0.75	200.272	204.009	204.272	1
204.292	4	Aircraft1_70%_29.jpg	0	0.75	204.292	208.024	205.797	0
208.291	4	Aircraft2_70%_1.jpg	1	0.75	208.291	212.023	211.798	1
212.302	4	Aircraft1_70%_26.jpg	0	0.75	212.302	216.036	214.319	0
216.305	4	Aircraft2_70%_34.jpg	1	0.75	216.305	220.042	220.305	1
220.324	4	rest.jpg	NaN	NaN	220.324	224.06	224.324	NaN
224.291	4	rest.jpg	NaN	NaN	224.291	228.029	228.291	NaN
228.278	4	rest.jpg	NaN	NaN	228.278	232.011	232.278	NaN
232.276	4	Aircraft2_10%_17.jpg	1	0.1	232.276	236.013	233.547	1
236.282	4	Aircraft2_10%_11.jpg	1	0.1	236.282	240.019	237.748	1
240.288	4	Aircraft1_10%_20.jpg	0	0.1	240.288	244.02	241.188	0
244.306	4	Aircraft2_10%_47.jpg	1	0.1	244.306	248.041	245.899	1
248.325	4	Aircraft2_10%_45.jpg	1	0.1	248.325	252.06	249.437	1
252.324	4	rest.jpg	NaN	NaN	252.324	256.054	256.324	NaN
256.284	4	rest.jpg	NaN	NaN	256.284	260.014	260.284	NaN
260.245	4	rest.jpg	NaN	NaN	260.245	263.98	264.245	NaN
264.259	4	Aircraft1_90%_25.jpg	0	0.9	264.259	267.991	265.805	0
268.272	4	Aircraft2_90%_49.jpg	1	0.9	268.272	272.008	272.272	1
272.289	4	Aircraft2_90%_10.jpg	1	0.9	272.289	276.021	272.495	1
276.282	4	Aircraft2_90%_12.jpg	1	0.9	276.282	280.014	280.282	1
280.278	4	Aircraft2_90%_7.jpg	1	0.9	280.278	284.01	282.071	1
284.278	4	rest.jpg	NaN	NaN	284.278	288.014	288.278	NaN
288.247	4	rest.jpg	NaN	NaN	288.247	291.982	292.247	NaN
