onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40	4	Aircraft1_10%_2.jpg	0	0.1	40	43.733	41.691	0
44.016	4	Aircraft1_10%_39.jpg	0	0.1	44.016	47.748	46.018	0
48.018	4	Aircraft2_10%_26.jpg	1	0.1	48.018	51.751	49.205	1
52.041	4	Aircraft1_10%_15.jpg	0	0.1	52.041	55.774	53.291	0
56.07	4	Aircraft2_10%_16.jpg	1	0.1	56.07	59.8	56.846	1
60.094	4	rest.jpg	NaN	NaN	60.094	63.824	64.094	NaN
64.074	4	rest.jpg	NaN	NaN	64.074	67.811	68.074	NaN
68.063	4	rest.jpg	NaN	NaN	68.063	71.795	72.063	NaN
72.092	4	Aircraft2_90%_14.jpg	1	0.9	72.092	75.83	74.363	1
76.097	4	Aircraft2_90%_5.jpg	1	0.9	76.097	79.827	80.097	1
80.116	4	Aircraft2_90%_15.jpg	1	0.9	80.116	83.846	80.117	1
84.116	4	Aircraft2_90%_19.jpg	1	0.9	84.116	87.846	86.245	1
88.117	4	Aircraft1_90%_31.jpg	0	0.9	88.117	91.852	90.52	0
92.137	4	rest.jpg	NaN	NaN	92.137	95.867	96.137	NaN
96.103	4	rest.jpg	NaN	NaN	96.103	99.839	100.103	NaN
100.079	4	rest.jpg	NaN	NaN	100.079	103.81	104.079	NaN
104.104	4	Aircraft2_70%_4.jpg	1	0.75	104.104	107.84	105.065	1
108.128	4	Aircraft1_70%_43.jpg	0	0.75	108.128	111.864	109.881	0
112.161	4	Aircraft1_70%_9.jpg	0	0.75	112.161	115.891	114.094	0
116.166	4	Aircraft1_70%_11.jpg	0	0.75	116.166	119.904	119.247	0
120.179	4	Aircraft1_70%_50.jpg	0	0.75	120.179	123.914	122.709	0
124.205	4	rest.jpg	NaN	NaN	124.205	127.938	128.205	NaN
128.176	4	rest.jpg	NaN	NaN	128.176	131.911	132.176	NaN
132.166	4	rest.jpg	NaN	NaN	132.166	135.896	136.166	NaN
136.168	4	Aircraft1_10%_36.jpg	0	0.1	136.168	139.903	137.332	0
140.176	4	Aircraft1_10%_35.jpg	0	0.1	140.176	143.905	141.529	0
144.177	4	Aircraft2_10%_3.jpg	1	0.1	144.177	147.909	145.079	1
148.204	4	Aircraft1_10%_5.jpg	0	0.1	148.204	151.936	149.331	0
152.213	4	Aircraft1_10%_48.jpg	0	0.1	152.213	155.946	153.282	0
156.233	4	rest.jpg	NaN	NaN	156.233	159.965	160.233	NaN
160.202	4	rest.jpg	NaN	NaN	160.202	163.932	164.202	NaN
164.167	4	rest.jpg	NaN	NaN	164.167	167.903	168.167	NaN
168.194	4	Aircraft1_90%_3.jpg	0	0.9	168.194	171.924	169.409	0
172.211	4	Aircraft2_90%_28.jpg	1	0.9	172.211	175.941	173.943	1
176.209	4	Aircraft1_90%_24.jpg	0	0.9	176.209	179.938	178.124	0
180.204	4	Aircraft2_90%_39.jpg	1	0.9	180.204	183.934	182.08	1
184.204	4	Aircraft2_90%_8.jpg	1	0.9	184.204	187.934	187.229	1
188.219	4	rest.jpg	NaN	NaN	188.219	191.949	192.219	NaN
192.2	4	rest.jpg	NaN	NaN	192.2	195.932	196.2	NaN
196.186	4	rest.jpg	NaN	NaN	196.186	199.924	200.186	NaN
200.221	4	Aircraft2_70%_18.jpg	1	0.75	200.221	203.951	201.84	1
204.225	4	Aircraft1_70%_29.jpg	0	0.75	204.225	207.955	207.076	0
208.231	4	Aircraft2_70%_1.jpg	1	0.75	208.231	211.968	210.135	1
212.254	4	Aircraft1_70%_26.jpg	0	0.75	212.254	215.983	213.116	0
216.258	4	Aircraft2_70%_34.jpg	1	0.75	216.258	219.99	218.383	1
220.279	4	rest.jpg	NaN	NaN	220.279	224.017	224.279	NaN
224.249	4	rest.jpg	NaN	NaN	224.249	227.979	228.249	NaN
228.227	4	rest.jpg	NaN	NaN	228.227	231.957	232.227	NaN
232.247	4	Aircraft2_10%_17.jpg	1	0.1	232.247	235.977	233.878	1
236.252	4	Aircraft2_10%_11.jpg	1	0.1	236.252	239.984	238.041	1
240.274	4	Aircraft1_10%_20.jpg	0	0.1	240.274	244.006	241.189	0
244.283	4	Aircraft2_10%_47.jpg	1	0.1	244.283	248.013	246.006	1
248.302	4	Aircraft2_10%_45.jpg	1	0.1	248.302	252.036	250.078	1
252.322	4	rest.jpg	NaN	NaN	252.322	256.052	256.322	NaN
256.302	4	rest.jpg	NaN	NaN	256.302	260.037	260.302	NaN
260.271	4	rest.jpg	NaN	NaN	260.271	264.009	264.271	NaN
264.277	4	Aircraft1_90%_25.jpg	0	0.9	264.277	268.009	265.492	0
268.279	4	Aircraft2_90%_49.jpg	1	0.9	268.279	272.011	271.055	1
272.298	4	Aircraft2_90%_10.jpg	1	0.9	272.298	276.03	275.708	1
276.315	4	Aircraft2_90%_12.jpg	1	0.9	276.315	280.051	279.612	1
280.321	4	Aircraft2_90%_7.jpg	1	0.9	280.321	284.056	283.528	1
284.337	4	rest.jpg	NaN	NaN	284.337	288.071	288.337	NaN
288.316	4	rest.jpg	NaN	NaN	288.316	292.053	292.316	NaN
292.301	4	rest.jpg	NaN	NaN	292.301	296.032	296.301	NaN
296.318	4	Aircraft1_70%_32.jpg	0	0.75	296.318	300.05	297.615	0
300.333	4	Aircraft1_70%_49.jpg	0	0.75	300.333	304.063	302.13	0
304.331	4	Aircraft2_70%_22.jpg	1	0.75	304.331	308.061	305.996	1
308.352	4	Aircraft1_70%_34.jpg	0	0.75	308.352	312.087	309.209	0
312.376	4	Aircraft1_70%_14.jpg	0	0.75	312.376	316.116	313.945	0
316.404	4	rest.jpg	NaN	NaN	316.404	320.134	320.404	NaN
320.385	4	rest.jpg	NaN	NaN	320.385	324.117	324.385	NaN
324.364	4	rest.jpg	NaN	NaN	324.364	328.096	328.364	NaN
328.371	4	Aircraft1_10%_1.jpg	0	0.1	328.371	332.102	329.173	0
332.389	4	Aircraft1_10%_47.jpg	0	0.1	332.389	336.125	333.925	0
336.4	4	Aircraft1_10%_40.jpg	0	0.1	336.4	340.13	337.438	0
340.424	4	Aircraft1_10%_27.jpg	0	0.1	340.424	344.154	341.255	0
344.424	4	Aircraft2_10%_35.jpg	1	0.1	344.424	348.154	345.19	1
348.44	4	rest.jpg	NaN	NaN	348.44	352.172	352.44	NaN
352.406	4	rest.jpg	NaN	NaN	352.406	356.136	356.406	NaN
356.384	4	rest.jpg	NaN	NaN	356.384	360.116	360.384	NaN
360.385	4	Aircraft1_90%_32.jpg	0	0.9	360.385	364.118	362.011	0
364.398	4	Aircraft1_90%_49.jpg	0	0.9	364.398	368.131	365.843	0
368.415	4	Aircraft2_90%_22.jpg	1	0.9	368.415	372.151	370.293	1
372.436	4	Aircraft1_90%_34.jpg	0	0.9	372.436	376.169	373.324	0
376.456	4	Aircraft1_90%_14.jpg	0	0.9	376.456	380.192	378.15	0
380.462	4	rest.jpg	NaN	NaN	380.462	384.194	384.462	NaN
384.439	4	rest.jpg	NaN	NaN	384.439	388.171	388.439	NaN
388.42	4	rest.jpg	NaN	NaN	388.42	392.152	392.42	NaN
392.439	4	Aircraft2_70%_24.jpg	1	0.75	392.439	396.169	393.695	1
396.452	4	Aircraft2_70%_2.jpg	1	0.75	396.452	400.182	398.83	1
400.469	4	Aircraft2_70%_43.jpg	1	0.75	400.469	404.199	403.008	1
404.485	4	Aircraft2_70%_46.jpg	1	0.75	404.485	408.22	405.869	1
408.493	4	Aircraft1_70%_42.jpg	0	0.75	408.493	412.228	409.052	0
412.498	4	rest.jpg	NaN	NaN	412.498	416.23	416.498	NaN
416.476	4	rest.jpg	NaN	NaN	416.476	420.206	420.476	NaN
420.455	4	rest.jpg	NaN	NaN	420.455	424.187	424.455	NaN
424.482	4	Aircraft2_10%_30.jpg	1	0.1	424.482	428.212	425.516	1
428.481	4	Aircraft2_10%_27.jpg	1	0.1	428.481	432.214	429.304	1
432.505	4	Aircraft2_10%_50.jpg	1	0.1	432.505	436.241	433.787	1
436.525	4	Aircraft2_10%_29.jpg	1	0.1	436.525	440.261	437.251	1
440.55	4	Aircraft1_10%_6.jpg	0	0.1	440.55	444.285	441.108	0
444.555	4	rest.jpg	NaN	NaN	444.555	448.287	448.555	NaN
448.537	4	rest.jpg	NaN	NaN	448.537	452.267	452.537	NaN
452.516	4	rest.jpg	NaN	NaN	452.516	456.251	456.516	NaN
456.517	4	Aircraft2_90%_18.jpg	1	0.9	456.517	460.25	457.954	1
460.536	4	Aircraft1_90%_29.jpg	0	0.9	460.536	464.265	462.983	0
464.53	4	Aircraft2_90%_1.jpg	1	0.9	464.53	468.263	467.715	1
468.546	4	Aircraft1_90%_26.jpg	0	0.9	468.546	472.278	469.641	0
472.564	4	Aircraft2_90%_34.jpg	1	0.9	472.564	476.294	474.726	1
476.583	4	rest.jpg	NaN	NaN	476.583	480.318	480.583	NaN
480.552	4	rest.jpg	NaN	NaN	480.552	484.282	484.552	NaN
484.533	4	rest.jpg	NaN	NaN	484.533	488.263	488.533	NaN
488.549	4	Aircraft1_70%_17.jpg	0	0.75	488.549	492.279	489.851	0
492.563	4	Aircraft2_70%_42.jpg	1	0.75	492.563	496.298	493.415	1
496.584	4	Aircraft2_70%_44.jpg	1	0.75	496.584	500.318	497.947	1
500.589	4	Aircraft1_70%_10.jpg	0	0.75	500.589	504.325	501.603	0
504.617	4	Aircraft2_70%_25.jpg	1	0.75	504.617	508.347	505.438	1
