onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.04	4	Aircraft1_10%_2.jpg	0	0.1	40.04	43.777	42.103	0
44.07	4	Aircraft1_10%_39.jpg	0	0.1	44.07	47.805	46.17	0
48.119	4	Aircraft2_10%_26.jpg	1	0.1	48.119	51.85	50.053	1
52.177	4	Aircraft1_10%_15.jpg	0	0.1	52.177	55.907	54.045	0
56.202	4	Aircraft2_10%_16.jpg	1	0.1	56.202	59.935	57.649	1
60.25	4	rest.jpg	NaN	NaN	60.25	63.985	64.25	NaN
64.23	4	rest.jpg	NaN	NaN	64.23	67.961	68.23	NaN
68.21	4	rest.jpg	NaN	NaN	68.21	71.943	72.21	NaN
72.265	4	Aircraft2_90%_14.jpg	1	0.9	72.265	76.002	74.923	1
76.283	4	Aircraft2_90%_5.jpg	1	0.9	76.283	80.014	77.885	1
80.296	4	Aircraft2_90%_15.jpg	1	0.9	80.296	84.026	82.598	1
84.326	4	Aircraft2_90%_19.jpg	1	0.9	84.326	88.059	86.633	1
88.341	4	Aircraft1_90%_31.jpg	0	0.9	88.341	92.071	91.156	0
92.357	4	rest.jpg	NaN	NaN	92.357	96.087	96.357	NaN
96.331	4	rest.jpg	NaN	NaN	96.331	100.066	100.331	NaN
100.316	4	rest.jpg	NaN	NaN	100.316	104.048	104.316	NaN
104.376	4	Aircraft2_70%_4.jpg	1	0.75	104.376	108.108	106.473	1
108.399	4	Aircraft1_70%_43.jpg	0	0.75	108.399	112.134	111.283	0
112.441	4	Aircraft1_70%_9.jpg	0	0.75	112.441	116.173	114.779	0
116.454	4	Aircraft1_70%_11.jpg	0	0.75	116.454	120.186	118.387	0
120.498	4	Aircraft1_70%_50.jpg	0	0.75	120.498	124.234	121.687	0
124.515	4	rest.jpg	NaN	NaN	124.515	128.252	128.515	NaN
128.503	4	rest.jpg	NaN	NaN	128.503	132.235	132.503	NaN
132.478	4	rest.jpg	NaN	NaN	132.478	136.21	136.478	NaN
136.489	4	Aircraft1_10%_36.jpg	0	0.1	136.489	140.224	138.145	0
140.515	4	Aircraft1_10%_35.jpg	0	0.1	140.515	144.248	141.563	0
144.57	4	Aircraft2_10%_3.jpg	1	0.1	144.57	148.3	145.742	1
148.623	4	Aircraft1_10%_5.jpg	0	0.1	148.623	152.354	149.502	0
152.647	4	Aircraft1_10%_48.jpg	0	0.1	152.647	156.38	153.593	0
156.661	4	rest.jpg	NaN	NaN	156.661	160.394	160.661	NaN
160.635	4	rest.jpg	NaN	NaN	160.635	164.371	164.635	NaN
164.605	4	rest.jpg	NaN	NaN	164.605	168.334	168.605	NaN
168.658	4	Aircraft1_90%_3.jpg	0	0.9	168.658	172.388	170.141	0
172.703	4	Aircraft2_90%_28.jpg	1	0.9	172.703	176.436	174.65	1
176.717	4	Aircraft1_90%_24.jpg	0	0.9	176.717	180.452	178.71	0
180.729	4	Aircraft2_90%_39.jpg	1	0.9	180.729	184.462	182.634	1
184.771	4	Aircraft2_90%_8.jpg	1	0.9	184.771	188.504	187.256	1
188.771	4	rest.jpg	NaN	NaN	188.771	192.501	192.771	NaN
192.733	4	rest.jpg	NaN	NaN	192.733	196.464	196.733	NaN
196.709	4	rest.jpg	NaN	NaN	196.709	200.446	200.709	NaN
200.727	4	Aircraft2_70%_18.jpg	1	0.75	200.727	204.463	202.082	1
204.787	4	Aircraft1_70%_29.jpg	0	0.75	204.787	208.522	207.152	0
208.992	4	Aircraft2_70%_1.jpg	1	0.75	208.992	212.723	211.553	1
213.035	4	Aircraft1_70%_26.jpg	0	0.75	213.035	216.767	214.714	0
217.09	4	Aircraft2_70%_34.jpg	1	0.75	217.09	220.82	219.291	1
