onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.012	4	Aircraft1_10%_17.jpg	0	0.1	40.012	43.747	41.619	0
44.028	4	Aircraft2_10%_42.jpg	1	0.1	44.028	47.761	44.882	1
48.048	4	Aircraft2_10%_44.jpg	1	0.1	48.048	51.789	48.802	1
52.071	4	Aircraft1_10%_10.jpg	0	0.1	52.071	55.805	53.053	0
56.082	4	Aircraft2_10%_25.jpg	1	0.1	56.082	59.818	57.187	1
60.094	4	rest.jpg	n/a	n/a	60.094	63.825	64.094	n/a
64.082	4	rest.jpg	n/a	n/a	64.082	67.815	68.082	n/a
68.047	4	rest.jpg	n/a	n/a	68.047	71.78	72.047	n/a
72.061	4	Aircraft1_90%_12.jpg	0	0.9	72.061	75.792	73.494	0
76.094	4	Aircraft2_90%_32.jpg	1	0.9	76.094	79.825	77.602	1
80.095	4	Aircraft2_90%_48.jpg	1	0.9	80.095	83.83	81.074	1
84.12	4	Aircraft1_90%_19.jpg	0	0.9	84.12	87.849	85.014	0
88.128	4	Aircraft1_90%_33.jpg	0	0.9	88.128	91.863	89.463	0
92.152	4	rest.jpg	n/a	n/a	92.152	95.884	96.152	n/a
96.137	4	rest.jpg	n/a	n/a	96.137	99.871	100.137	n/a
100.125	4	rest.jpg	n/a	n/a	100.125	103.857	104.125	n/a
104.136	4	Aircraft2_70%_33.jpg	1	0.75	104.136	107.87	105.602	1
108.188	4	Aircraft2_70%_38.jpg	1	0.75	108.188	111.917	109.713	1
112.193	4	Aircraft1_70%_30.jpg	0	0.75	112.193	115.922	113.784	0
116.216	4	Aircraft1_70%_41.jpg	0	0.75	116.216	119.951	117.513	0
120.259	4	Aircraft1_70%_18.jpg	0	0.75	120.259	123.995	121.718	0
124.272	4	rest.jpg	n/a	n/a	124.272	128.007	128.272	n/a
128.242	4	rest.jpg	n/a	n/a	128.242	131.976	132.242	n/a
132.211	4	rest.jpg	n/a	n/a	132.211	135.94	136.211	n/a
136.249	4	Aircraft2_10%_24.jpg	1	0.1	136.249	139.98	137.125	1
140.271	4	Aircraft2_10%_2.jpg	1	0.1	140.271	144.005	141.101	1
144.292	4	Aircraft2_10%_43.jpg	1	0.1	144.292	148.027	145.141	1
148.336	4	Aircraft2_10%_46.jpg	1	0.1	148.336	152.066	149.077	1
152.352	4	Aircraft1_10%_42.jpg	0	0.1	152.352	156.082	153.35	0
156.363	4	rest.jpg	n/a	n/a	156.363	160.097	160.363	n/a
160.331	4	rest.jpg	n/a	n/a	160.331	164.067	164.331	n/a
164.3	4	rest.jpg	n/a	n/a	164.3	168.032	168.3	n/a
168.3	4	Aircraft2_90%_9.jpg	1	0.9	168.3	172.034	169.851	1
172.32	4	Aircraft2_90%_6.jpg	1	0.9	172.32	176.056	174.016	1
176.336	4	Aircraft1_90%_23.jpg	0	0.9	176.336	180.07	178.075	0
180.355	4	Aircraft1_90%_21.jpg	0	0.9	180.355	184.089	182.158	0
184.374	4	Aircraft2_90%_36.jpg	1	0.9	184.374	188.106	186.572	1
188.395	4	rest.jpg	n/a	n/a	188.395	192.125	192.395	n/a
192.376	4	rest.jpg	n/a	n/a	192.376	196.11	196.376	n/a
196.344	4	rest.jpg	n/a	n/a	196.344	200.076	200.344	n/a
200.401	4	Aircraft2_70%_31.jpg	1	0.75	200.401	204.131	201.918	1
204.407	4	Aircraft1_70%_4.jpg	0	0.75	204.407	208.141	206.047	0
208.428	4	Aircraft2_70%_20.jpg	1	0.75	208.428	212.164	210.386	1
212.451	4	Aircraft1_70%_7.jpg	0	0.75	212.451	216.182	214.447	0
216.511	4	Aircraft1_70%_8.jpg	0	0.75	216.511	220.246	217.516	0
220.519	4	rest.jpg	n/a	n/a	220.519	224.253	224.519	n/a
224.487	4	rest.jpg	n/a	n/a	224.487	228.222	228.487	n/a
228.472	4	rest.jpg	n/a	n/a	228.472	232.209	232.472	n/a
232.535	4	Aircraft2_10%_31.jpg	1	0.1	232.535	236.264	233.855	1
236.559	4	Aircraft1_10%_4.jpg	0	0.1	236.559	240.296	237.556	0
240.568	4	Aircraft2_10%_20.jpg	1	0.1	240.568	244.298	241.459	1
244.621	4	Aircraft1_10%_7.jpg	0	0.1	244.621	248.352	245.351	0
248.628	4	Aircraft1_10%_8.jpg	0	0.1	248.628	252.36	249.38	0
252.65	4	rest.jpg	n/a	n/a	252.65	256.385	256.65	n/a
256.619	4	rest.jpg	n/a	n/a	256.619	260.351	260.619	n/a
260.6	4	rest.jpg	n/a	n/a	260.6	264.329	264.6	n/a
264.615	4	Aircraft2_90%_41.jpg	1	0.9	264.615	268.344	266.079	1
268.616	4	Aircraft1_90%_22.jpg	0	0.9	268.616	272.345	269.949	0
