onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.006	4	Aircraft1_10%_2.jpg	0	0.1	40.006	43.743	42.114	0
44.031	4	Aircraft1_10%_39.jpg	0	0.1	44.031	47.771	45.656	0
48.042	4	Aircraft2_10%_26.jpg	1	0.1	48.042	51.776	49.239	1
52.075	4	Aircraft1_10%_15.jpg	0	0.1	52.075	55.808	55.196	0
56.087	4	Aircraft2_10%_16.jpg	1	0.1	56.087	59.823	57.432	1
60.108	4	rest.jpg	NaN	NaN	60.108	63.84	64.108	NaN
64.095	4	rest.jpg	NaN	NaN	64.095	67.831	68.095	NaN
68.083	4	rest.jpg	NaN	NaN	68.083	71.814	72.083	NaN
72.079	4	Aircraft2_90%_14.jpg	1	0.9	72.079	75.815	76.079	1
76.077	4	Aircraft2_90%_5.jpg	1	0.9	76.077	79.809	78.268	1
80.088	4	Aircraft2_90%_15.jpg	1	0.9	80.088	83.82	82.433	1
84.084	4	Aircraft2_90%_19.jpg	1	0.9	84.084	87.819	86.714	1
88.098	4	Aircraft1_90%_31.jpg	0	0.9	88.098	91.829	92.098	0
92.119	4	rest.jpg	NaN	NaN	92.119	95.852	92.125	NaN
96.086	4	rest.jpg	NaN	NaN	96.086	99.819	100.086	NaN
100.066	4	rest.jpg	NaN	NaN	100.066	103.803	104.066	NaN
104.071	4	Aircraft2_70%_4.jpg	1	0.75	104.071	107.807	107.305	1
108.098	4	Aircraft1_70%_43.jpg	0	0.75	108.098	111.837	111.654	0
112.128	4	Aircraft1_70%_9.jpg	0	0.75	112.128	115.858	114.201	0
116.146	4	Aircraft1_70%_11.jpg	0	0.75	116.146	119.876	120.146	0
120.146	4	Aircraft1_70%_50.jpg	0	0.75	120.146	123.882	120.151	0
124.149	4	rest.jpg	NaN	NaN	124.149	127.888	128.149	NaN
128.126	4	rest.jpg	NaN	NaN	128.126	131.858	132.126	NaN
132.104	4	rest.jpg	NaN	NaN	132.104	135.842	136.104	NaN
136.11	4	Aircraft1_10%_36.jpg	0	0.1	136.11	139.84	138.92	0
140.12	4	Aircraft1_10%_35.jpg	0	0.1	140.12	143.855	142.226	0
144.12	4	Aircraft2_10%_3.jpg	1	0.1	144.12	147.853	145.528	1
148.146	4	Aircraft1_10%_5.jpg	0	0.1	148.146	151.885	150.089	0
152.178	4	Aircraft1_10%_48.jpg	0	0.1	152.178	155.915	153.737	0
156.183	4	rest.jpg	NaN	NaN	156.183	159.915	160.183	NaN
160.15	4	rest.jpg	NaN	NaN	160.15	163.885	164.15	NaN
164.138	4	rest.jpg	NaN	NaN	164.138	167.873	168.138	NaN
168.137	4	Aircraft1_90%_3.jpg	0	0.9	168.137	171.871	171.427	0
172.15	4	Aircraft2_90%_28.jpg	1	0.9	172.15	175.885	176.15	1
176.168	4	Aircraft1_90%_24.jpg	0	0.9	176.168	179.904	178.459	0
180.188	4	Aircraft2_90%_39.jpg	1	0.9	180.188	183.925	183.774	1
184.209	4	Aircraft2_90%_8.jpg	1	0.9	184.209	187.945	186.979	1
188.216	4	rest.jpg	NaN	NaN	188.216	191.952	192.216	NaN
192.207	4	rest.jpg	NaN	NaN	192.207	195.945	196.207	NaN
196.182	4	rest.jpg	NaN	NaN	196.182	199.914	200.182	NaN
200.204	4	Aircraft2_70%_18.jpg	1	0.75	200.204	203.935	203.36	1
204.204	4	Aircraft1_70%_29.jpg	0	0.75	204.204	207.935	205.944	0
208.218	4	Aircraft2_70%_1.jpg	1	0.75	208.218	211.956	210.413	1
212.23	4	Aircraft1_70%_26.jpg	0	0.75	212.23	215.96	215.384	0
216.251	4	Aircraft2_70%_34.jpg	1	0.75	216.251	219.986	218.759	1
220.255	4	rest.jpg	NaN	NaN	220.255	223.991	224.255	NaN
224.247	4	rest.jpg	NaN	NaN	224.247	227.98	228.247	NaN
228.218	4	rest.jpg	NaN	NaN	228.218	231.949	232.218	NaN
232.217	4	Aircraft2_10%_17.jpg	1	0.1	232.217	235.948	235.229	1
236.219	4	Aircraft2_10%_11.jpg	1	0.1	236.219	239.952	239.387	1
240.244	4	Aircraft1_10%_20.jpg	0	0.1	240.244	243.976	243.731	0
244.266	4	Aircraft2_10%_47.jpg	1	0.1	244.266	248.001	245.46	1
248.268	4	Aircraft2_10%_45.jpg	1	0.1	248.268	252.002	251.336	1
252.285	4	rest.jpg	NaN	NaN	252.285	256.02	256.285	NaN
256.265	4	rest.jpg	NaN	NaN	256.265	259.996	260.265	NaN
260.233	4	rest.jpg	NaN	NaN	260.233	263.972	264.233	NaN
264.253	4	Aircraft1_90%_25.jpg	0	0.9	264.253	267.99	267.674	0
268.257	4	Aircraft2_90%_49.jpg	1	0.9	268.257	271.989	270.69	1
272.256	4	Aircraft2_90%_10.jpg	1	0.9	272.256	275.992	275.008	1
276.256	4	Aircraft2_90%_12.jpg	1	0.9	276.256	279.992	279.137	1
280.271	4	Aircraft2_90%_7.jpg	1	0.9	280.271	284.013	283.14	1
284.292	4	rest.jpg	NaN	NaN	284.292	288.023	288.292	NaN
288.271	4	rest.jpg	NaN	NaN	288.271	292.007	292.271	NaN
292.261	4	rest.jpg	NaN	NaN	292.261	295.996	296.261	NaN
296.28	4	Aircraft1_70%_32.jpg	0	0.75	296.28	300.017	298.247	0
300.284	4	Aircraft1_70%_49.jpg	0	0.75	300.284	304.02	302.196	0
304.282	4	Aircraft2_70%_22.jpg	1	0.75	304.282	308.014	307.208	1
308.3	4	Aircraft1_70%_34.jpg	0	0.75	308.3	312.03	312.3	0
312.315	4	Aircraft1_70%_14.jpg	0	0.75	312.315	316.045	312.361	0
316.315	4	rest.jpg	NaN	NaN	316.315	320.045	320.315	NaN
320.288	4	rest.jpg	NaN	NaN	320.288	324.024	324.288	NaN
324.271	4	rest.jpg	NaN	NaN	324.271	328.01	328.271	NaN
328.305	4	Aircraft1_10%_1.jpg	0	0.1	328.305	332.04	329.705	0
332.33	4	Aircraft1_10%_47.jpg	0	0.1	332.33	336.06	334.068	0
336.335	4	Aircraft1_10%_40.jpg	0	0.1	336.335	340.067	338.886	0
340.361	4	Aircraft1_10%_27.jpg	0	0.1	340.361	344.091	343.697	0
344.377	4	Aircraft2_10%_35.jpg	1	0.1	344.377	348.107	346.929	1
348.393	4	rest.jpg	NaN	NaN	348.393	352.125	352.393	NaN
352.358	4	rest.jpg	NaN	NaN	352.358	356.093	356.358	NaN
356.328	4	rest.jpg	NaN	NaN	356.328	360.058	360.328	NaN
360.326	4	Aircraft1_90%_32.jpg	0	0.9	360.326	364.059	361.67	0
364.344	4	Aircraft1_90%_49.jpg	0	0.9	364.344	368.079	367.765	0
368.346	4	Aircraft2_90%_22.jpg	1	0.9	368.346	372.076	372.346	1
372.345	4	Aircraft1_90%_34.jpg	0	0.9	372.345	376.079	374.726	0
376.344	4	Aircraft1_90%_14.jpg	0	0.9	376.344	380.076	378.815	0
380.344	4	rest.jpg	NaN	NaN	380.344	384.076	384.344	NaN
384.326	4	rest.jpg	NaN	NaN	384.326	388.062	388.326	NaN
388.296	4	rest.jpg	NaN	NaN	388.296	392.026	392.296	NaN
392.294	4	Aircraft2_70%_24.jpg	1	0.75	392.294	396.026	394.54	1
396.314	4	Aircraft2_70%_2.jpg	1	0.75	396.314	400.05	400.314	1
400.338	4	Aircraft2_70%_43.jpg	1	0.75	400.338	404.069	402.199	1
404.335	4	Aircraft2_70%_46.jpg	1	0.75	404.335	408.067	406.14	1
408.352	4	Aircraft1_70%_42.jpg	0	0.75	408.352	412.088	409.8	0
412.368	4	rest.jpg	NaN	NaN	412.368	416.099	416.368	NaN
416.331	4	rest.jpg	NaN	NaN	416.331	420.061	420.331	NaN
420.293	4	rest.jpg	NaN	NaN	420.293	424.03	424.293	NaN
424.318	4	Aircraft2_10%_30.jpg	1	0.1	424.318	428.051	425.247	1
428.332	4	Aircraft2_10%_27.jpg	1	0.1	428.332	432.069	430.717	1
432.358	4	Aircraft2_10%_50.jpg	1	0.1	432.358	436.088	434.367	1
436.376	4	Aircraft2_10%_29.jpg	1	0.1	436.376	440.113	439.465	1
440.381	4	Aircraft1_10%_6.jpg	0	0.1	440.381	444.116	442.005	0
444.391	4	rest.jpg	NaN	NaN	444.391	448.121	448.391	NaN
448.352	4	rest.jpg	NaN	NaN	448.352	452.088	452.352	NaN
452.336	4	rest.jpg	NaN	NaN	452.336	456.066	456.336	NaN
456.33	4	Aircraft2_90%_18.jpg	1	0.9	456.33	460.066	459.362	1
460.348	4	Aircraft1_90%_29.jpg	0	0.9	460.348	464.079	461.859	0
464.364	4	Aircraft2_90%_1.jpg	1	0.9	464.364	468.094	466.341	1
468.376	4	Aircraft1_90%_26.jpg	0	0.9	468.376	472.111	469.813	0
472.392	4	Aircraft2_90%_34.jpg	1	0.9	472.392	476.127	474.914	1
476.403	4	rest.jpg	NaN	NaN	476.403	480.133	480.403	NaN
480.38	4	rest.jpg	NaN	NaN	480.38	484.112	484.38	NaN
484.362	4	rest.jpg	NaN	NaN	484.362	488.094	488.362	NaN
488.376	4	Aircraft1_70%_17.jpg	0	0.75	488.376	492.106	489.962	0
492.373	4	Aircraft2_70%_42.jpg	1	0.75	492.373	496.105	494.091	1
496.371	4	Aircraft2_70%_44.jpg	1	0.75	496.371	500.108	498.83	1
500.394	4	Aircraft1_70%_10.jpg	0	0.75	500.394	504.124	502.357	0
504.398	4	Aircraft2_70%_25.jpg	1	0.75	504.398	508.128	506.699	1
508.414	4	rest.jpg	NaN	NaN	508.414	512.15	512.414	NaN
512.382	4	rest.jpg	NaN	NaN	512.382	516.114	516.382	NaN
516.354	4	rest.jpg	NaN	NaN	516.354	520.085	520.354	NaN
520.361	4	Aircraft1_10%_38.jpg	0	0.1	520.361	524.098	521.711	0
524.374	4	Aircraft2_10%_21.jpg	1	0.1	524.374	528.113	525.244	1
528.402	4	Aircraft1_10%_16.jpg	0	0.1	528.402	532.132	529.706	0
532.419	4	Aircraft1_10%_46.jpg	0	0.1	532.419	536.149	533.463	0
536.42	4	Aircraft2_10%_40.jpg	1	0.1	536.42	540.15	537.85	1
540.421	4	rest.jpg	NaN	NaN	540.421	544.158	544.421	NaN
544.391	4	rest.jpg	NaN	NaN	544.391	548.124	548.391	NaN
548.367	4	rest.jpg	NaN	NaN	548.367	552.097	552.367	NaN
552.384	4	Aircraft2_90%_4.jpg	1	0.9	552.384	556.116	554.278	1
556.397	4	Aircraft1_90%_43.jpg	0	0.9	556.397	560.128	558.97	0
560.39	4	Aircraft1_90%_9.jpg	0	0.9	560.39	564.12	562.56	0
564.4	4	Aircraft1_90%_11.jpg	0	0.9	564.4	568.132	567.095	0
568.408	4	Aircraft1_90%_50.jpg	0	0.9	568.408	572.143	571.073	0
572.426	4	rest.jpg	NaN	NaN	572.426	576.158	576.426	NaN
576.392	4	rest.jpg	NaN	NaN	576.392	580.123	580.392	NaN
580.371	4	rest.jpg	NaN	NaN	580.371	584.103	584.371	NaN
584.388	4	Aircraft1_70%_12.jpg	0	0.75	584.388	588.119	586.173	0
588.403	4	Aircraft2_70%_32.jpg	1	0.75	588.403	592.134	591.385	1
592.41	4	Aircraft2_70%_48.jpg	1	0.75	592.41	596.146	595.162	1
596.429	4	Aircraft1_70%_19.jpg	0	0.75	596.429	600.159	598.019	0
600.426	4	Aircraft1_70%_33.jpg	0	0.75	600.426	604.158	603.171	0
604.437	4	rest.jpg	NaN	NaN	604.437	608.169	608.437	NaN
608.418	4	rest.jpg	NaN	NaN	608.418	612.148	612.418	NaN
612.396	4	rest.jpg	NaN	NaN	612.396	616.131	616.396	NaN
616.404	4	Aircraft2_10%_23.jpg	1	0.1	616.404	620.136	618.526	1
620.423	4	Aircraft1_10%_28.jpg	0	0.1	620.423	624.153	622.526	0
624.427	4	Aircraft2_10%_13.jpg	1	0.1	624.427	628.16	626.532	1
628.441	4	Aircraft1_10%_45.jpg	0	0.1	628.441	632.173	630.158	0
632.465	4	Aircraft1_10%_37.jpg	0	0.1	632.465	636.197	633.796	0
636.47	4	rest.jpg	NaN	NaN	636.47	640.206	640.47	NaN
640.455	4	rest.jpg	NaN	NaN	640.455	644.187	644.455	NaN
644.438	4	rest.jpg	NaN	NaN	644.438	648.167	648.438	NaN
648.448	4	Aircraft2_90%_33.jpg	1	0.9	648.448	652.183	651.248	1
652.45	4	Aircraft2_90%_38.jpg	1	0.9	652.45	656.186	653.662	1
656.47	4	Aircraft1_90%_30.jpg	0	0.9	656.47	660.206	659.313	0
660.489	4	Aircraft1_90%_41.jpg	0	0.9	660.489	664.226	663.696	0
664.512	4	Aircraft1_90%_18.jpg	0	0.9	664.512	668.242	665.63	0
668.512	4	rest.jpg	NaN	NaN	668.512	672.248	672.512	NaN
672.482	4	rest.jpg	NaN	NaN	672.482	676.215	676.482	NaN
676.449	4	rest.jpg	NaN	NaN	676.449	680.181	680.449	NaN
680.453	4	Aircraft2_70%_9.jpg	1	0.75	680.453	684.187	684.453	1
684.476	4	Aircraft2_70%_6.jpg	1	0.75	684.476	688.212	686.044	1
688.483	4	Aircraft1_70%_23.jpg	0	0.75	688.483	692.218	690.181	0
692.485	4	Aircraft1_70%_21.jpg	0	0.75	692.485	696.222	693.547	0
696.508	4	Aircraft2_70%_36.jpg	1	0.75	696.508	700.241	698.083	1
700.505	4	rest.jpg	NaN	NaN	700.505	704.237	704.505	NaN
704.482	4	rest.jpg	NaN	NaN	704.482	708.214	708.482	NaN
708.456	4	rest.jpg	NaN	NaN	708.456	712.186	712.456	NaN
712.47	4	Aircraft2_10%_41.jpg	1	0.1	712.47	716.206	714.598	1
716.488	4	Aircraft1_10%_22.jpg	0	0.1	716.488	720.224	718.358	0
720.505	4	Aircraft1_10%_44.jpg	0	0.1	720.505	724.243	721.985	0
724.526	4	Aircraft1_10%_1.jpg	0	0.1	724.526	728.262	727.14	0
728.544	4	Aircraft2_10%_37.jpg	1	0.1	728.544	732.276	730.413	1
732.546	4	rest.jpg	NaN	NaN	732.546	736.276	736.546	NaN
736.521	4	rest.jpg	NaN	NaN	736.521	740.26	740.521	NaN
740.508	4	rest.jpg	NaN	NaN	740.508	744.238	744.508	NaN
744.505	4	Aircraft2_90%_31.jpg	1	0.9	744.505	748.238	747.188	1
748.522	4	Aircraft1_90%_4.jpg	0	0.9	748.522	752.255	752.522	0
752.524	4	Aircraft2_90%_20.jpg	1	0.9	752.524	756.254	753.98	1
756.536	4	Aircraft1_90%_7.jpg	0	0.9	756.536	760.271	758.631	0
760.552	4	Aircraft1_90%_8.jpg	0	0.9	760.552	764.284	763.029	0
764.57	4	rest.jpg	NaN	NaN	764.57	768.3	768.57	NaN
768.549	4	rest.jpg	NaN	NaN	768.549	772.281	772.549	NaN
